Ano;LPA;P_L;VPA;P_VP;P_EBIT;P_EBITDA;P_Ativos;Ebitda;Marg_Ebitda;PSR;ROE;ROA;ROIC;EV_EBIT;EV_EBITDA;Div_Yield;Div_Payout;Beta;Valorizacao;Negocios_dia;Volume_diario;Ticker
2020;0.09;134.45;3.45;3.67;86.69;0.0;2.71;0.0;0.0;10.46;0.03;0.02;0.07;65.78;0.0;0.004;0.0;0.28;0.04;2242;30;BOAS3
2021;0.09;130.65;3.49;3.31;91.06;0.0;2.48;0.0;0.0;9.52;0.03;0.02;0.06;73.32;0.0;0.0060999999999999995;0.0;0.54;-0.09;2499;12;BOAS3
1998;19.53;4.69;302.4;0.3;2.05;0.0;0.17;0.0;0.0;0.82;0.06;0.04;0.09;24.77;0.0;0.0;0.0;0.0;-0.68;63;2;SBSP3
1999;-8.23;-25.78;290.85;0.73;4.59;0.0;0.4;0.0;0.0;1.86;-0.03;-0.02;0.09;24.15;0.0;0.0;0.0;0.0;1.23;72;2;SBSP3
2000;18.33;9.49;290.32;0.6;3.73;0.0;0.33;0.0;0.0;1.48;0.06;0.03;0.09;24.0;0.0;0.0;0.0;0.76;-0.17;109;3;SBSP3
2001;7.58;17.4;280.77;0.47;3.05;0.0;0.24;0.0;0.0;1.09;0.03;0.01;0.08;26.27;0.0;0.0;0.0;0.91;-0.23;110;3;SBSP3
2002;-21.56;-4.27;254.43;0.36;1.96;0.0;0.16;0.0;0.0;0.7;-0.08;-0.04;0.08;25.26;0.0;0.22829999999999998;0.0;0.83;-0.17;201;4;SBSP3
2003;30.55;5.34;266.02;0.61;3.19;0.0;0.28;0.0;0.0;1.13;0.11;0.05;0.09;22.74;0.0;0.0674;0.0;0.85;0.91;282;6;SBSP3
2004;19.35;8.14;279.19;0.56;3.46;0.0;0.27;0.0;0.0;1.02;0.07;0.03;0.08;25.44;0.0;0.0704;0.0;0.94;0.03;311;7;SBSP3
2005;31.67;4.96;297.83;0.53;2.69;1.98;0.26;2260.0;0.46;0.9;0.11;0.05;0.1;19.56;14.41;0.0842;0.09;0.87;0.15;315;8;SBSP3
2006;28.65;10.23;316.65;0.93;4.76;3.48;0.46;2395.0;0.43;1.51;0.09;0.05;0.1;18.37;13.45;0.0325;0.21;0.78;0.96;394;11;SBSP3
2007;4.61;8.92;42.94;0.96;4.59;3.52;0.5;2664.0;0.45;1.57;0.11;0.06;0.11;15.47;11.86;0.0287;0.13;0.75;0.14;588;15;SBSP3
2008;0.29;97.3;41.9;0.66;5.41;3.54;0.31;1787.0;0.28;1.0;0.01;0.0;0.06;28.0;18.33;0.036699999999999997;0.01089;0.91;-0.31;843;13;SBSP3
2009;6.04;5.7;46.2;0.74;3.66;2.9;0.36;2702.0;0.4;1.16;0.13;0.06;0.1;15.15;12.01;0.0582;0.43;0.76;0.27;1083;10;SBSP3
2010;7.16;5.95;42.49;1.0;3.63;3.01;0.42;3224.0;0.35;1.05;0.17;0.07;0.13;12.02;9.96;0.050499999999999996;0.24;0.72;0.32;1050;11;SBSP3
2011;5.37;9.68;46.28;1.12;5.03;3.8;0.47;3123.0;0.31;1.19;0.12;0.05;0.1;13.66;10.3;0.0;0.34;0.65;0.18;1177;12;SBSP3
2012;8.4;10.34;51.42;1.69;6.96;5.53;0.75;3582.0;0.33;1.84;0.16;0.07;0.12;11.55;9.17;0.0292;0.3;0.48;0.79;1977;31;SBSP3
2013;2.81;9.4;18.92;1.4;5.76;4.51;0.64;4010.0;0.35;1.6;0.15;0.07;0.12;10.69;8.37;0.0888;0.26;0.75;-0.06;5533;45;SBSP3
2014;1.33;12.83;19.46;0.87;6.08;3.99;0.38;2915.0;0.26;1.04;0.07;0.03;0.07;18.29;11.99;0.0464;0.52;0.8;-0.32;6207;30;SBSP3
2015;0.79;24.05;20.07;0.94;4.25;3.14;0.38;4118.0;0.35;1.1;0.04;0.02;0.1;12.28;9.08;0.0195;0.38;0.95;0.15;5204;23;SBSP3
2016;4.31;6.68;22.56;1.28;5.74;4.3;0.54;4576.0;0.32;1.4;0.19;0.08;0.1;10.49;7.86;0.0076;0.05;0.79;0.6;7382;52;SBSP3
2017;3.69;9.31;25.62;1.34;5.92;4.46;0.59;5264.0;0.36;1.61;0.14;0.06;0.11;9.01;6.79;0.035;0.3;0.79;0.26;7162;51;SBSP3
2018;4.15;7.59;28.6;1.1;4.16;3.28;0.49;6569.0;0.41;1.34;0.15;0.07;0.13;6.96;5.48;0.0327;0.23;0.9;-0.06;6969;50;SBSP3
2019;4.93;12.29;31.65;1.91;7.25;5.53;0.89;7492.0;0.42;2.3;0.16;0.07;0.13;6.46;4.92;0.0192;0.22;1.09;0.81;12763;141;SBSP3
2020;1.43;31.15;33.35;1.33;6.76;4.65;0.6;6529.0;0.37;1.71;0.04;0.02;0.1;8.76;6.03;0.0;0.91;1.01;-0.27;17849;194;SBSP3
2021;3.12;11.85;34.07;1.08;5.49;3.77;0.5;6690.0;0.36;1.37;0.09;0.04;0.1;8.59;5.9;0.0108;0.42;0.8;-0.12;14685;152;SBSP3
2015;-0.05;-35.55;5.33;0.35;3.95;2.43;0.19;249.0;0.21;0.51;-0.01;-0.01;0.06;6.89;4.23;0.0;-0.12;0.45;-0.74;317;1;LLIS3
2016;-0.17;-18.12;4.8;0.66;10.43;-66.25;0.35;-17.0;-0.01;0.98;-0.04;-0.02;0.04;9.0;-57.2;0.0;0.0;0.4;0.65;212;1;LLIS3
2017;8.16;3.98;41.59;0.78;-76.23;6.39;0.45;263.0;0.21;1.34;0.2;0.11;-0.01;-41.57;3.48;0.0;0.0;0.58;0.4;34;0;LLIS3
2018;2.05;13.05;43.12;0.62;5.03;3.94;0.37;351.0;0.28;1.11;0.05;0.03;0.08;4.22;3.31;0.0351;0.91;0.32;-0.13;19;0;LLIS3
2019;-2.79;-6.1;33.14;0.51;-13.61;13.23;0.27;88.0;0.09;1.23;-0.08;-0.04;-0.02;-15.12;14.7;0.0;-0.12;0.56;-0.4;85;1;LLIS3
2020;-29.09;-0.17;4.01;1.23;-0.27;-2.7;0.16;-126.0;-0.21;0.57;-7.26;-0.93;-0.64;-1.49;-14.77;0.0;0.0;1.09;-0.71;590;2;LLIS3
2021;-9.32;-0.45;3.46;1.22;-0.51;0.49;0.14;591.0;1.06;0.52;-2.7;-0.3;-0.3;-3.28;3.18;0.0;0.0;0.81;-0.15;949;4;LLIS3
2015;3.01;11.58;3.96;8.79;10.45;10.38;2.57;413.0;0.34;3.51;0.76;0.22;0.42;5.32;5.29;0.0626;0.78;0.6;-0.25;4091;41;SMLS3
2016;4.44;10.07;5.14;8.71;9.19;9.07;2.87;610.0;0.39;3.57;0.86;0.29;0.48;3.68;3.64;0.06480000000000001;0.64;0.96;0.37;4381;30;SMLS3
2017;3.69;20.57;7.03;10.79;31.13;30.45;4.33;309.0;0.34;10.23;0.52;0.21;0.22;7.0;6.85;0.0584;0.05;1.19;0.84;4219;48;SMLS3
2018;5.21;8.4;8.18;5.35;7.32;7.15;2.06;759.0;0.77;5.5;0.64;0.25;0.41;2.84;2.77;0.0889;0.72;1.02;-0.41;4934;55;SMLS3
