Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.72;1.12;1.14;1.50;1.76;1.63;1.86;2.07;2.32;2.23;2.13;1.98;2.42;1.46;1.64
&nbspP/L;16.57;4.65;10.37;9.73;7.08;8.66;6.79;6.51;3.77;6.25;8.08;8.53;8.35;10.75;9.78
&nbspVPA;8.00;8.63;9.06;10.02;11.19;12.11;13.32;14.54;15.70;15.88;16.71;17.36;18.50;19.41;19.88
&nbspP/VP;1.48;0.60;1.30;1.46;1.11;1.17;0.95;0.93;0.56;0.88;1.03;0.97;1.09;0.81;0.81
&nbspROE;9%;13%;13%;15%;16%;13%;14%;14%;15%;14%;13%;11%;13%;8%;8%
&nbspDiv. Yield;2,70%;9,63%;4,32%;3,69%;4,81%;2,34%;4,75%;4,89%;9,85%;7,82%;0,00%;3,20%;2,43%;0,00%;2,11%
&nbspDiv. Payout;0%;0%;33%;36%;34%;38%;32%;31%;37%;46%;49%;53%;43%;0%;-1%
&nbspBeta;0.69;0.59;0.52;0.80;0.75;0.70;0.41;0.70;0.71;0.83;1.00;0.66;0.66;0.90;0.85
&nbspValorização;-10%;-53%;135%;22%;-13%;23%;-9%;16%;-28%;79%;29%;2%;18%;-23%;1%
&nbspNegócios/dia;62;57;144;319;408;588;790;794;913;1033;1963;2076;2732;4249;3478
&nbspVolume diário;4;2;2;3;3;3;4;3;3;3;8;6;10;13;12
