Unnamed: 0;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-27.21;20.47;24.42;41.51;37.93;24.15;26.52;46.97;4.77;5.18;10.43;2.46;2.80;3.40;0.73;0.79;0.82;0.83;0.50;0.72;0.77;0.75;0.84
&nbspP/L;-29.33;22.96;17.53;11.52;16.74;56.66;28.36;20.08;26.22;16.38;14.14;17.67;19.52;24.59;23.86;20.78;21.74;19.70;42.59;21.25;24.10;20.99;20.52
&nbspVPA;456.65;92.87;89.38;109.99;118.80;314.75;305.89;305.87;28.60;28.36;36.17;7.92;8.29;9.57;2.81;2.78;3.21;2.97;3.05;3.66;3.98;4.78;5.31
&nbspP/VP;1.75;5.06;4.79;4.35;5.35;4.35;2.46;3.08;4.37;2.99;4.08;5.48;6.59;8.75;6.16;5.89;5.56;5.53;6.97;4.20;4.70;3.28;3.25
&nbspP/EBIT;39.66;25.62;11.04;8.90;13.59;28.68;13.41;11.16;13.31;8.99;9.45;13.44;14.53;18.88;17.62;16.21;14.91;15.07;20.36;14.23;18.30;15.46;16.12
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;7.87;7.69;8.78;5.75;8.27;11.62;12.93;16.75;15.51;14.09;12.81;12.51;16.69;11.51;14.17;11.67;12.29
&nbspP/Ativos;0.60;2.10;1.50;1.48;1.62;2.26;1.47;1.69;2.17;1.40;2.27;3.16;3.69;4.83;3.95;3.56;3.10;3.07;3.85;2.57;2.89;1.97;2.04
&nbspEbitda;0;0;0;0;0;0;6241;7817;8763;9060;10994;11590;13165;15629;17467;18236;21856;20612;20036;21014;20728;21096;22138
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;39%;44%;45%;43%;47%;46%;49%;48%;50%;48%;47%;45%;42%;42%;39%;36%;35%
&nbspPSR;2.22;3.46;2.53;2.50;2.77;6.22;3.08;3.41;3.92;2.49;3.92;5.34;6.27;8.12;7.79;6.75;5.99;5.65;6.98;4.81;5.58;4.22;4.36
&nbspROE;-6%;22%;27%;38%;32%;8%;9%;15%;17%;18%;29%;31%;34%;36%;26%;28%;26%;28%;16%;20%;19%;16%;16%
&nbspROA;-2%;9%;9%;13%;10%;4%;5%;8%;8%;9%;16%;18%;19%;20%;17%;17%;14%;16%;9%;12%;12%;9%;10%
&nbspROIC;2%;9%;14%;18%;13%;8%;11%;16%;17%;17%;26%;32%;37%;36%;31%;30%;29%;26%;25%;24%;21%;18%;18%
&nbspEV/EBIT;2058.34;401.57;191.78;139.66;162.90;111.41;79.07;54.23;50.59;50.71;30.13;28.17;23.77;19.93;17.81;17.34;14.50;16.36;16.72;16.09;17.05;16.86;15.47
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;46.42;37.37;33.36;32.40;26.36;24.36;21.14;17.68;15.68;15.06;12.46;13.57;13.71;13.01;13.20;12.73;11.80
&nbspDiv. Yield;0,00%;0,00%;1,92%;0,83%;4,14%;0,94%;4,79%;2,83%;10,14%;5,40%;3,75%;17,83%;3,06%;3,12%;7,51%;5,44%;3,31%;3,90%;2,87%;3,12%;2,62%;2,62%;2,83%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;131%;60%;67%;92%;55%;66%;63%;51%;63%;98%;89%;79%;112%;77%;65%;58%;61%
&nbspBeta;0.00;0.27;0.50;0.28;0.23;0.23;0.21;0.58;0.56;0.49;0.52;0.49;0.35;0.40;0.34;0.61;0.55;0.47;0.51;0.47;0.64;0.71;1.01
&nbspValorização;12%;200%;-7%;13%;42%;116%;-33%;29%;36%;-28%;74%;48%;30%;60%;5%;-2%;15%;-1%;34%;-27%;19%;-16%;12%
&nbspNegócios/dia;5;10;12;10;10;21;49;69;93;133;127;125;440;1230;3321;23571;22599;25819;22497;27184;30795;43188;36164
&nbspVolume diário;0;1;1;1;1;4;9;5;8;7;5;6;7;24;40;188;220;247;248;318;394;421;406
