Unnamed: 0;2017;2018;2019
&nbspLPA;0.00;-0.53;-0.66
&nbspP/L;-3856.92;-2.84;-3.96
&nbspVPA;0.00;-1.85;-2.51
&nbspP/VP;-1714.19;-0.81;-1.04
&nbspP/EBIT;-3856.92;-5.67;-4.95
&nbspP/EBITDA;-3675.01;-6.28;-4.68
&nbspP/Ativos;7713.85;0.00;0.00
&nbspEbitda;-4;-2;-4
&nbspMarg. Ebitda;0%;0%;0%
&nbspPSR;0.00;0.00;0.00
&nbspROE;44%;29%;26%
&nbspROA;-200%;0%;0%
&nbspROIC;-400%;0%;400%
&nbspEV/EBIT;0.00;-0.01;0.00
&nbspEV/EBITDA;0.00;-0.01;0.00
&nbspDiv. Yield;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%
&nbspBeta;1.81;0.23;0.23
&nbspValorização;-35%;-25%;-37%
&nbspNegócios/dia;48;14;75
&nbspVolume diário;0;0;0
