Unnamed: 0;2016;2017;2018;2019;2020;2021
&nbspLPA;0.18;0.15;0.15;0.15;0.43;0.43
&nbspP/L;76.51;83.33;68.45;106.54;38.81;32.06
&nbspVPA;0.80;0.79;0.77;0.73;0.92;0.94
&nbspP/VP;17.45;16.11;12.94;22.10;17.91;14.85
&nbspP/EBIT;42.70;39.69;26.97;44.35;18.86;15.86
&nbspP/EBITDA;34.31;29.92;19.63;30.95;15.91;13.18
&nbspP/Ativos;6.72;3.68;2.59;4.11;3.29;2.89
&nbspEbitda;803;838;1004;1036;2074;2110
&nbspMarg. Ebitda;51%;49%;52%;51%;103%;102%
&nbspPSR;17.64;14.52;10.25;15.65;16.40;13.41
&nbspROE;23%;19%;19%;21%;46%;46%
&nbspROA;9%;4%;4%;4%;8%;9%
&nbspROIC;21%;13%;13%;14%;27%;22%
&nbspEV/EBIT;45.65;48.99;43.32;43.52;18.19;18.59
&nbspEV/EBITDA;36.68;36.93;31.53;30.37;15.34;15.45
&nbspDiv. Yield;14,36%;6,43%;7,68%;5,16%;6,29%;7,25%
&nbspDiv. Payout;213%;114%;94%;108%;50%;49%
&nbspBeta;0.42;0.50;0.44;0.53;0.63;0.00
&nbspValorização;12%;-3%;-16%;69%;13%;-13%
&nbspNegócios/dia;4273;4929;3336;4432;7006;4521
&nbspVolume diário;18;19;11;15;33;20
