Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.10;0.51;-0.22;3.11;0.21;0.49;2.25;3.11;1.96;1.79;1.79
&nbspP/L;-94.06;19.47;-42.47;2.92;53.52;22.45;5.56;5.02;9.68;13.99;16.57
&nbspVPA;9.55;10.03;9.98;12.92;11.78;11.72;13.27;15.47;18.05;18.47;18.47
&nbspP/VP;1.01;1.00;0.95;0.70;0.94;0.94;0.94;1.01;1.05;1.35;1.60
&nbspP/EBIT;-47.03;20.87;-20.45;3.35;-26.76;0.00;4.42;4.75;7.16;8.72;10.33
&nbspP/EBITDA;-21.54;-20.98;-11.22;-14.90;0.00;-23.37;5.89;0.00;0.00;6.46;7.65
&nbspP/Ativos;0.77;0.76;0.67;0.52;0.75;0.71;0.60;0.65;0.58;0.71;0.85
&nbspEbitda;-26;-28;-49;-36;0;-27;121;0;0;240;240
&nbspMarg. Ebitda;-17%;-11%;-32%;-10%;0%;-15%;32%;0%;0%;30%;30%
&nbspPSR;3.62;2.39;3.63;1.42;4.62;3.42;1.85;1.60;1.68;1.93;2.28
&nbspROE;-1%;5%;-2%;24%;2%;4%;17%;20%;11%;10%;10%
&nbspROA;-1%;4%;-2%;18%;1%;3%;11%;13%;6%;5%;5%
&nbspROIC;-2%;4%;-4%;26%;-4%;0%;17%;17%;9%;9%;9%
&nbspEV/EBIT;-155.39;66.24;-68.51;10.12;-73.74;0.00;12.41;10.88;14.14;13.07;12.98
&nbspEV/EBITDA;-71.15;-66.60;-37.59;-45.02;0.00;-70.62;16.52;0.00;0.00;9.68;9.61
&nbspDiv. Yield;0,00%;0,00%;1,06%;0,00%;12,69%;5,25%;1,92%;4,87%;4,89%;2,84%;2,40%
&nbspDiv. Payout;0%;0%;-38%;0%;667%;114%;9%;23%;41%;35%;35%
&nbspBeta;0.25;0.00;0.26;0.10;0.17;0.14;0.35;0.23;0.28;0.33;0.32
&nbspValorização;-11%;3%;-5%;-4%;43%;7%;16%;30%;26%;18%;18%
&nbspNegócios/dia;10;42;56;45;75;214;216;195;197;715;3768
&nbspVolume diário;0;1;1;0;0;1;1;1;1;4;24
