Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;14.85;27.85;35.96;17.71;25.76;44.02;50.46;9.02;7.22;6.85;9.93;8.15;0.88;0.89;0.73;0.74;0.63;0.58;0.77;0.75;0.69;0.45;0.22;0.39
&nbspP/L;3.70;4.13;4.17;7.62;5.05;4.52;6.50;7.76;17.88;24.61;3.83;14.84;11.84;13.77;20.12;17.66;10.68;16.63;11.51;22.84;23.61;61.90;173.68;110.29
&nbspVPA;158.54;187.47;215.24;223.83;235.10;264.63;297.37;35.79;42.67;50.21;58.56;62.75;3.87;4.27;4.33;4.35;4.56;4.19;4.20;4.81;5.25;4.65;5.13;5.33
&nbspP/VP;0.35;0.61;0.70;0.60;0.55;0.75;1.10;1.96;3.02;3.36;0.65;1.93;2.69;2.87;3.39;2.99;1.47;2.29;2.11;3.54;3.12;5.93;7.42;8.16
&nbspP/EBIT;4.51;2.83;4.90;6.62;4.04;6.28;6.17;6.74;15.05;22.21;3.56;11.52;11.18;13.68;19.36;16.85;9.47;11.96;10.21;21.15;16.77;37.72;81.47;55.38
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.37;12.76;18.03;2.75;8.69;9.68;11.66;16.00;13.97;7.66;9.40;8.72;16.49;13.63;31.44;62.65;45.56
&nbspP/Ativos;0.18;0.35;0.41;0.34;0.27;0.41;0.59;1.13;2.16;2.21;0.37;1.21;1.61;1.75;2.06;1.63;0.85;1.18;1.32;2.08;1.93;3.59;4.65;5.28
&nbspEbitda;0;0;0;0;0;0;0;238;179;164;241;243;374;366;352;392;403;470;479;486;565;516;358;562
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;18%;13%;13%;15%;12%;17%;14%;12%;11%;11%;11%;18%;13%;14%;14%;11%;16%
&nbspPSR;0.19;0.34;0.38;0.32;0.27;0.35;0.51;0.94;1.69;2.29;0.40;1.05;1.62;1.66;1.87;1.60;0.83;1.07;1.54;2.15;1.97;4.37;6.66;7.27
&nbspROE;9%;15%;17%;8%;11%;17%;17%;25%;17%;14%;17%;13%;23%;21%;17%;17%;14%;14%;18%;16%;13%;10%;4%;7%
&nbspROA;5%;9%;10%;4%;5%;9%;9%;14%;12%;9%;10%;8%;14%;13%;10%;9%;8%;7%;11%;9%;8%;6%;3%;5%
&nbspROIC;4%;13%;9%;5%;7%;7%;10%;17%;15%;11%;11%;11%;23%;21%;16%;15%;12%;13%;17%;14%;15%;12%;8%;13%
&nbspEV/EBIT;1282.87;388.18;517.39;775.79;492.33;500.34;297.96;155.14;193.52;222.00;159.81;161.72;89.50;92.70;99.79;89.53;90.14;79.84;71.90;77.53;64.11;67.60;105.11;63.50
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.63;163.97;180.22;123.58;121.98;77.47;79.05;82.50;74.22;72.96;62.80;61.42;60.43;52.12;56.34;80.83;52.24
&nbspDiv. Yield;0,00%;0,00%;4,45%;6,56%;12,08%;9,58%;5,80%;14,52%;2,04%;1,59%;3,94%;1,33%;1,54%;2,29%;1,43%;2,00%;3,73%;9,27%;3,15%;1,88%;2,63%;0,00%;0,13%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;41%;9%;41%;30%;20%;21%;33%;30%;35%;40%;159%;36%;42%;63%;0%;23%;0%
&nbspBeta;0.00;0.00;-0.06;0.11;0.87;0.06;0.58;0.92;0.13;0.24;0.19;0.25;0.30;0.21;0.40;0.38;0.38;0.30;0.10;0.52;0.24;0.46;0.83;0.50
&nbspValorização;9%;100%;33%;-9%;11%;43%;91%;138%;88%;26%;-77%;171%;77%;16%;35%;-2%;-38%;59%;-4%;99%;-1%;64%;42%;15%
&nbspNegócios/dia;3;3;2;2;2;2;2;3;3;3;3;2;6;5;7;11;7;9;11;12;10;15;18;20
&nbspVolume diário;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
