Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;14.85;27.85;35.96;17.71;25.76;44.02;50.46;9.02;7.22;6.85;9.93;8.15;0.88;0.89;0.73;0.74;0.63;0.58;0.77;0.75;0.69;0.45;0.22;0.39
&nbspP/L;3.76;3.95;3.61;6.10;4.23;4.54;7.13;8.07;17.95;18.70;4.73;14.09;12.28;13.93;20.67;20.12;11.56;12.34;12.97;23.39;24.56;74.52;191.46;128.26
&nbspVPA;158.54;187.47;215.24;223.83;235.10;264.63;297.37;35.79;42.67;50.21;58.56;62.75;3.87;4.27;4.33;4.35;4.56;4.19;4.20;4.81;5.25;4.65;5.13;5.33
&nbspP/VP;0.35;0.59;0.60;0.48;0.46;0.76;1.21;2.03;3.03;2.55;0.80;1.83;2.79;2.90;3.49;3.40;1.59;1.70;2.38;3.63;3.24;7.14;8.18;9.49
&nbspP/EBIT;4.58;2.70;4.25;5.29;3.38;6.32;6.77;7.01;15.11;16.87;4.40;10.94;11.60;13.85;19.88;19.20;10.25;8.87;11.51;21.66;17.44;45.40;89.81;64.41
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.59;12.81;13.69;3.40;8.25;10.04;11.81;16.44;15.91;8.29;6.98;9.83;16.88;14.18;37.84;69.06;52.99
&nbspP/Ativos;0.19;0.34;0.35;0.27;0.23;0.41;0.64;1.17;2.17;1.68;0.46;1.14;1.67;1.77;2.11;1.86;0.92;0.87;1.49;2.13;2.01;4.32;5.13;6.14
&nbspEbitda;0;0;0;0;0;0;0;238;179;164;241;243;374;366;352;392;403;470;479;486;565;516;358;562
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;18%;13%;13%;15%;12%;17%;14%;12%;11%;11%;11%;18%;13%;14%;14%;11%;16%
&nbspPSR;0.19;0.33;0.33;0.25;0.23;0.36;0.56;0.98;1.69;1.74;0.49;1.00;1.68;1.68;1.92;1.82;0.90;0.80;1.74;2.21;2.05;5.26;7.34;8.46
&nbspROE;9%;15%;17%;8%;11%;17%;17%;25%;17%;14%;17%;13%;23%;21%;17%;17%;14%;14%;18%;16%;13%;10%;4%;7%
&nbspROA;5%;9%;10%;4%;5%;9%;9%;14%;12%;9%;10%;8%;14%;13%;10%;9%;8%;7%;11%;9%;8%;6%;3%;5%
&nbspROIC;4%;13%;9%;5%;7%;7%;10%;17%;15%;11%;11%;11%;23%;21%;16%;15%;12%;13%;17%;14%;15%;12%;8%;13%
&nbspEV/EBIT;1282.87;388.18;517.39;775.79;492.33;500.34;297.96;155.14;193.52;222.00;159.81;161.72;89.50;92.70;99.79;89.53;90.14;79.84;71.90;77.53;64.11;67.60;105.11;63.50
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.63;163.97;180.22;123.58;121.98;77.47;79.05;82.50;74.22;72.96;62.80;61.42;60.43;52.12;56.34;80.83;52.24
&nbspDiv. Yield;0,00%;0,00%;5,65%;9,03%;15,85%;10,49%;5,81%;15,37%;2,25%;2,31%;3,51%;1,54%;1,85%;2,50%;1,66%;1,89%;3,72%;13,76%;3,00%;2,01%;2,82%;0,00%;0,14%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;41%;9%;41%;30%;20%;21%;33%;30%;35%;40%;159%;36%;42%;63%;0%;23%;0%
&nbspBeta;0.00;0.00;0.23;0.39;0.39;0.24;0.46;0.38;0.41;0.34;0.48;0.34;0.31;0.73;0.52;0.39;0.57;0.43;0.35;0.79;0.77;0.71;0.94;0.63
&nbspValorização;25%;111%;21%;-17%;11%;100%;102%;117%;83%;-2%;-63%;145%;93%;19%;40%;10%;-42%;15%;46%;81%;0%;90%;29%;21%
&nbspNegócios/dia;5;3;4;4;4;4;9;11;15;21;17;10;95;363;699;1050;1177;1297;1754;1756;1942;3749;9022;7424
&nbspVolume diário;0;0;0;0;0;0;1;1;1;2;1;1;3;4;5;6;6;5;5;10;9;22;71;67
