Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;4.78;4.04;4.82;3.60;2.68;3.25;3.30;4.76;0.22;0.77;0.52
&nbspP/L;5.03;7.98;3.79;4.59;6.03;5.31;7.69;5.41;229.76;37.82;55.25
&nbspVPA;31.80;35.03;38.78;41.47;43.29;45.25;47.30;51.11;28.28;28.66;28.81
&nbspP/VP;0.75;0.92;0.47;0.40;0.37;0.38;0.54;0.50;1.77;1.02;1.00
&nbspP/EBIT;4.07;5.94;2.55;2.99;3.69;3.41;5.08;3.52;52.46;24.15;32.87
&nbspP/EBITDA;4.06;5.89;2.53;2.97;3.66;3.43;5.04;3.50;35.73;15.33;18.28
&nbspP/Ativos;0.56;0.61;0.31;0.27;0.25;0.26;0.36;0.36;1.22;0.71;0.70
&nbspEbitda;452;418;550;425;338;384;385;562;373;506;417
&nbspMarg. Ebitda;206%;163%;200%;134%;102%;112%;109%;150%;50%;63%;55%
&nbspPSR;8.38;9.63;5.07;3.97;3.74;3.85;5.47;5.27;17.94;9.73;9.97
&nbspROE;15%;12%;12%;9%;6%;7%;7%;9%;1%;3%;2%
&nbspROA;11%;8%;8%;6%;4%;5%;5%;7%;1%;2%;1%
&nbspROIC;16%;12%;13%;10%;7%;8%;8%;11%;3%;3%;2%
&nbspEV/EBIT;17.48;19.25;15.36;20.19;25.52;21.97;22.17;15.01;26.47;20.37;35.92
&nbspEV/EBITDA;17.44;19.09;15.27;20.06;25.30;22.10;21.96;14.95;18.02;12.93;19.98
&nbspDiv. Yield;0,17%;0,99%;1,92%;2,79%;2,84%;2,67%;1,81%;1,79%;0,92%;0,00%;0,80%
&nbspDiv. Payout;1%;8%;7%;12%;17%;14%;13%;9%;147%;0%;0%
&nbspBeta;0.57;0.15;0.50;0.27;0.48;0.40;0.53;0.36;0.41;1.25;1.24
&nbspValorização;22%;30%;-41%;-7%;0%;9%;52%;5%;94%;-42%;3%
&nbspNegócios/dia;144;237;382;258;94;147;201;108;1795;7805;6938
&nbspVolume diário;2;4;3;2;1;2;2;1;18;54;43
