Unnamed: 0;2016;2017;2018;2019;2020;2021
&nbspLPA;0.92;0.80;0.86;1.87;2.34;2.66
&nbspP/L;4.80;6.65;6.38;4.52;3.80;3.36
&nbspVPA;6.07;6.38;7.12;8.58;10.17;10.93
&nbspP/VP;0.73;0.84;0.77;0.99;0.87;0.82
&nbspP/EBIT;2.66;4.39;4.02;3.04;2.36;2.06
&nbspP/EBITDA;0.00;4.02;3.71;2.90;2.27;1.98
&nbspP/Ativos;0.32;0.41;0.33;0.38;0.35;0.33
&nbspEbitda;0;1170;1295;2558;3454;3979
&nbspMarg. Ebitda;0%;76%;69%;56%;56%;61%
&nbspPSR;2.13;3.06;2.55;1.62;1.27;1.20
&nbspROE;15%;13%;12%;22%;23%;24%
&nbspROA;7%;6%;5%;8%;9%;10%
&nbspROIC;14%;12%;11%;16%;17%;18%
&nbspEV/EBIT;9.15;9.71;8.81;5.05;4.41;3.94
&nbspEV/EBITDA;0.00;8.89;8.12;4.83;4.24;3.77
&nbspDiv. Yield;6,36%;3,18%;4,40%;1,78%;1,35%;1,12%
&nbspDiv. Payout;71%;62%;67%;27%;32%;30%
&nbspBeta;0.25;0.35;0.35;0.26;0.65;0.36
&nbspValorização;-6%;19%;7%;49%;8%;3%
&nbspNegócios/dia;6;8;8;25;113;152
&nbspVolume diário;0;0;0;0;0;0
