Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.13;0.97;1.25;0.47;0.28;-0.18;-0.43;-0.28;0.15;-0.42;-1.65;-1.44
&nbspP/L;22.22;17.63;26.12;39.67;51.74;-27.49;-13.82;-25.51;35.31;-31.49;-4.12;-6.40
&nbspVPA;4.46;4.64;5.60;5.97;6.23;5.48;4.95;4.70;4.77;5.44;3.79;3.61
&nbspP/VP;5.64;3.68;5.81;3.12;2.33;0.89;1.20;1.54;1.09;2.44;1.80;2.56
&nbspP/EBIT;16.24;11.35;16.95;16.67;13.80;14.14;121.64;13.09;3.77;50.94;-6.08;-10.09
&nbspP/EBITDA;11.93;7.89;12.09;9.31;6.98;3.67;6.73;5.57;2.53;18.68;319.17;17.85
&nbspP/Ativos;2.25;1.30;2.47;1.34;0.91;0.35;0.46;0.52;0.33;0.86;0.53;0.74
&nbspEbitda;389;400;499;371;385;270;181;266;418;185;6;136
&nbspMarg. Ebitda;19%;16%;17%;12%;12%;9%;6%;9%;15%;6%;0%;7%
&nbspPSR;2.24;1.29;2.09;1.11;0.80;0.31;0.43;0.51;0.38;1.20;0.83;1.22
&nbspROE;25%;21%;22%;8%;5%;-3%;-9%;-6%;3%;-8%;-44%;-40%
&nbspROA;10%;7%;9%;3%;2%;-1%;-3%;-2%;1%;-3%;-13%;-12%
&nbspROIC;22%;17%;19%;10%;9%;3%;1%;6%;12%;2%;-12%;-9%
&nbspEV/EBIT;8.75;10.10;8.29;14.49;15.87;43.03;286.69;26.65;10.98;47.93;-11.56;-15.29
&nbspEV/EBITDA;6.43;7.02;5.92;8.09;8.03;11.17;15.86;11.34;7.38;17.58;606.47;27.05
&nbspDiv. Yield;2,07%;3,98%;1,17%;0,65%;0,76%;1,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;32%;70%;30%;24%;38%;-33%;0%;0%;0%;-208%;0%;0%
&nbspBeta;0.31;0.91;0.66;0.57;0.43;0.45;0.71;1.14;0.82;0.90;1.50;1.20
&nbspValorização;23%;-31%;87%;-43%;-21%;-63%;26%;14%;-33%;140%;-49%;40%
&nbspNegócios/dia;336;520;779;1438;803;174;131;1087;1732;2999;10428;9407
&nbspVolume diário;4;5;7;9;4;1;1;4;4;10;42;48
