Unnamed: 0;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.43;1.92;0.77;0.27;1.06;0.05;-0.10;-0.10;0.03
&nbspP/L;48.80;18.42;17.81;50.15;26.64;329.94;-298.67;-363.48;527.05
&nbspVPA;5.76;7.19;7.77;7.84;8.60;8.57;8.60;6.25;2.13
&nbspP/VP;3.68;4.91;1.78;1.74;3.29;1.98;3.46;5.76;6.53
&nbspP/EBIT;42.85;24.01;16.28;19.36;26.33;33.84;19.75;123.21;86.05
&nbspP/EBITDA;43.97;24.25;16.92;20.27;27.25;34.67;20.37;70.41;54.61
&nbspP/Ativos;2.03;3.10;0.97;0.80;1.71;0.91;1.00;3.17;3.39
&nbspEbitda;40;121;67;54;84;38;117;206;309
&nbspMarg. Ebitda;9%;17%;8%;6%;8%;3%;10%;15%;21%
&nbspPSR;3.81;4.23;1.33;1.15;2.19;1.20;2.02;10.23;11.25
&nbspROE;8%;27%;10%;3%;12%;1%;-1%;-2%;1%
&nbspROA;4%;17%;5%;2%;6%;0%;0%;-1%;1%
&nbspROIC;11%;15%;7%;5%;7%;3%;6%;4%;5%
&nbspEV/EBIT;125.89;45.04;81.01;99.94;65.07;146.45;54.25;46.95;29.43
&nbspEV/EBITDA;129.18;45.48;84.17;104.66;67.33;150.05;55.95;26.83;18.68
&nbspDiv. Yield;0,00%;0,31%;3,41%;1,39%;0,21%;1,47%;0,03%;0,00%;0,00%
&nbspDiv. Payout;0%;6%;61%;68%;5%;500%;0%;0%;0%
&nbspBeta;0.18;0.40;0.87;0.76;0.62;0.76;0.76;0.93;0.90
&nbspValorização;10%;71%;-58%;7%;115%;-40%;66%;22%;16%
&nbspNegócios/dia;755;823;2602;843;570;1308;1202;3903;6374
&nbspVolume diário;7;7;11;2;4;6;6;23;27
