Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.22;1.26;1.15;0.18;-21.39;-12.15;-10.82;-21.62;0.17;-0.17;-0.17
&nbspP/L;13.90;15.89;15.80;18.75;-0.94;-1.66;-1.13;-0.83;166.46;-189.59;-277.30
&nbspVPA;4.91;5.44;5.38;5.03;79.60;44.67;33.52;12.11;15.33;15.42;15.42
&nbspP/VP;3.46;3.67;3.39;0.68;0.25;0.45;0.36;1.49;1.89;2.14;3.13
&nbspP/EBIT;20.04;17.88;17.40;-106.25;-0.68;-1.53;-1.19;-0.83;0.00;-126.39;-184.87
&nbspP/EBITDA;0.00;0.00;16.78;39.90;-0.74;-1.38;-1.35;-0.87;42.71;36.23;52.99
&nbspP/Ativos;2.55;2.31;2.03;0.44;0.20;0.40;0.31;1.01;1.28;1.26;1.85
&nbspEbitda;0;0;103;8;-133;-112;-70;-158;8;10;10
&nbspMarg. Ebitda;0%;0%;40%;4%;-70%;-85%;-75%;-182%;9%;10%;10%
&nbspPSR;10.64;8.19;6.70;1.41;0.52;1.17;1.01;1.59;3.66;3.65;5.33
&nbspROE;25%;23%;21%;4%;-27%;-27%;-32%;-178%;1%;-1%;-1%
&nbspROA;18%;15%;13%;2%;-21%;-24%;-28%;-121%;1%;-1%;-1%
&nbspROIC;29%;19%;14%;0%;-32%;-30%;-31%;-176%;0%;-1%;-1%
&nbspEV/EBIT;2.70;2.76;4.10;-161.64;-3.52;-4.90;-6.44;-3.07;0.00;-167.64;-172.80
&nbspEV/EBITDA;0.00;0.00;3.95;60.70;-3.82;-4.41;-7.32;-3.24;60.03;48.05;49.53
&nbspDiv. Yield;20,53%;4,90%;9,48%;12,94%;0,15%;0,00%;0,00%;0,00%;0,00%;0,15%;0,00%
&nbspDiv. Payout;0%;0%;35%;359%;-13%;-4%;-4%;-1%;50%;-100%;-100%
&nbspBeta;0.60;0.45;0.28;0.27;0.12;0.11;0.35;-0.04;0.63;0.72;0.37
&nbspValorização;-11%;22%;-1%;-80%;-68%;3%;-39%;50%;61%;8%;42%
&nbspNegócios/dia;112;699;1148;1052;1011;90;77;92;105;179;481
&nbspVolume diário;4;6;9;5;2;1;1;0;1;1;5
