Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.04;1.11;1.24;1.27;1.36;1.33;1.73;1.59;1.80;0.50;0.53
&nbspP/L;22.33;35.75;23.97;21.16;15.40;18.87;31.68;34.53;35.49;135.86;178.73
&nbspVPA;4.34;5.11;5.80;6.50;6.95;7.53;7.40;7.87;8.20;13.53;13.76
&nbspP/VP;5.35;7.73;5.13;4.15;3.02;3.33;7.39;6.99;7.80;5.04;6.91
&nbspP/EBIT;18.02;27.16;17.82;16.15;13.12;14.55;28.22;25.90;25.99;73.84;105.25
&nbspP/EBITDA;17.45;25.81;16.54;14.82;11.26;12.57;23.81;21.42;19.18;39.22;48.98
&nbspP/Ativos;4.03;5.51;3.75;3.00;2.18;2.45;4.68;4.76;4.12;2.40;3.34
&nbspEbitda;118;136;159;161;166;177;206;232;303;173;193
&nbspMarg. Ebitda;17%;16%;17%;15%;15%;14%;15%;15%;18%;11%;11%
&nbspPSR;3.03;4.07;2.74;2.27;1.66;1.80;3.61;3.26;3.47;4.27;5.52
&nbspROE;24%;22%;21%;20%;20%;18%;23%;20%;22%;4%;4%
&nbspROA;18%;15%;16%;14%;14%;13%;15%;14%;12%;2%;2%
&nbspROIC;38%;32%;31%;28%;25%;26%;29%;27%;22%;5%;5%
&nbspEV/EBIT;81.80;72.50;63.33;63.24;65.90;60.94;53.47;48.62;41.80;103.62;106.14
&nbspEV/EBITDA;79.21;68.88;58.78;58.02;56.54;52.64;45.11;40.21;30.86;55.04;49.39
&nbspDiv. Yield;0,91%;0,83%;1,98%;2,15%;3,81%;3,35%;3,77%;2,27%;2,08%;0,78%;0,59%
&nbspDiv. Payout;9%;19%;17%;25%;27%;63%;107%;80%;87%;84%;49%
&nbspBeta;0.65;0.60;0.59;0.56;0.70;0.58;1.01;1.00;0.57;0.93;0.75
&nbspValorização;10%;68%;-24%;-10%;-16%;31%;130%;0%;19%;8%;40%
&nbspNegócios/dia;270;528;880;552;532;579;1364;1315;2044;3644;3757
&nbspVolume diário;5;7;9;5;3;4;13;14;22;36;50
