Unnamed: 0;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.21;0.21;3.44;6.29;9.54;1.84;0.39;0.82;0.30;0.29;-0.66;-17.92;-92.23;-14.05;-150.07;-8.67;-6.53
&nbspP/L;17.93;15.54;20.05;6.36;11.26;17.43;55.33;30.35;18.22;13.66;-0.18;-0.52;-0.04;-0.06;-0.06;-0.27;-1.21
&nbspVPA;0.91;1.01;18.48;19.22;23.28;7.07;7.74;7.83;1.27;1.17;0.50;2.87;-102.99;5.28;-58.68;6.77;5.35
&nbspP/VP;4.18;3.17;3.73;2.08;4.62;4.52;2.78;3.19;4.33;3.42;0.24;3.28;-0.04;0.16;-0.15;0.34;1.47
&nbspP/EBIT;12.41;12.40;13.53;4.05;7.06;10.86;13.97;9.52;9.62;5.64;-0.42;-0.28;-0.07;-0.25;-0.10;-0.39;-1.92
&nbspP/EBITDA;0.00;0.00;0.00;0.00;4.70;6.39;5.37;4.29;4.70;3.28;0.40;-0.13;-0.11;1.03;-0.16;-2.26;5.00
&nbspP/Ativos;2.50;1.90;1.52;0.60;1.41;1.38;0.52;0.65;0.72;0.51;0.02;0.02;0.01;0.01;0.02;0.03;0.11
&nbspEbitda;0;0;0;0;338;297;257;375;404;413;101;-314;-144;13;-157;-25;39
&nbspMarg. Ebitda;0%;0%;0%;0%;16%;12%;9%;11%;11%;12%;3%;-15%;-8%;1%;-18%;-3%;4%
&nbspPSR;1.39;0.96;0.79;0.33;0.73;0.79;0.47;0.45;0.52;0.39;0.01;0.02;0.01;0.01;0.03;0.06;0.20
&nbspROE;23%;20%;19%;33%;41%;26%;5%;11%;24%;25%;-132%;-625%;90%;-266%;256%;-128%;-122%
&nbspROA;14%;12%;8%;9%;12%;8%;1%;2%;4%;4%;-9%;-4%;-24%;-16%;-33%;-12%;-9%
&nbspROIC;22%;17%;13%;16%;21%;19%;5%;9%;10%;11%;-5%;-9%;-18%;-5%;-23%;-10%;-7%
&nbspEV/EBIT;1.64;2.04;3.65;2.80;1.76;1.09;9.28;5.45;5.11;5.03;-14.23;-9.22;-5.19;-4.63;-2.26;-3.08;-4.78
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;1.17;0.64;3.57;2.46;2.50;2.93;13.77;-4.15;-8.36;19.17;-3.70;-18.03;12.42
&nbspDiv. Yield;0,00%;1,25%;0,00%;2,50%;3,14%;4,72%;7,26%;6,24%;14,78%;7,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;35%;81%;376%;194%;60%;103%;0%;-9%;0%;0%;0%;-1%;-4%
&nbspBeta;0.23;0.65;0.21;0.37;0.35;0.33;0.45;0.10;0.35;-0.29;-1.66;0.96;0.81;1.25;13.56;0.54;0.81
&nbspValorização;121%;-10%;10%;-42%;176%;19%;-33%;27%;7%;-29%;-96%;-15%;-63%;-78%;-67%;-74%;202%
&nbspNegócios/dia;175;96;29;7;8;9;11;8;12;7;14;128;82;253;427;45;445
&nbspVolume diário;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
