Unnamed: 0;2018;2019;2020;2021
&nbspLPA;0.29;0.14;0.62;0.62
&nbspP/L;8.60;11.63;5.18;12.41
&nbspVPA;0.14;0.24;0.67;0.72
&nbspP/VP;17.21;6.98;4.81;10.76
&nbspP/EBIT;10.32;11.63;6.73;12.41
&nbspP/EBITDA;0.00;0.00;6.77;12.46
&nbspP/Ativos;4.69;2.49;2.49;5.20
&nbspEbitda;0;0;10;13
&nbspMarg. Ebitda;0%;0%;33%;36%
&nbspPSR;7.37;3.88;2.24;4.48
&nbspROE;200%;60%;93%;87%
&nbspROA;55%;21%;48%;42%
&nbspROIC;100%;100%;77%;76%
&nbspEV/EBIT;30.73;49.55;14.57;11.48
&nbspEV/EBITDA;0.00;0.00;14.66;11.52
&nbspDiv. Yield;0,00%;0,00%;0,00%;3,89%
&nbspDiv. Payout;0%;0%;0%;0%
&nbspBeta;0.28;0.48;0.55;-0.40
&nbspValorização;-28%;-33%;87%;146%
&nbspNegócios/dia;82;82;250;627
&nbspVolume diário;0;0;0;2
