Unnamed: 0;2011;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.26;0.30;0.33;0.07;-1.44;-3.15;-24.26;-6.30;-6.48;26.30
&nbspP/L;38.61;8.40;7.74;20.25;-1.73;-0.79;-0.37;-1.07;-0.89;0.27
&nbspVPA;1.07;1.48;1.67;1.67;0.19;-2.89;-39.07;-45.56;-44.44;-11.85
&nbspP/VP;9.32;1.68;1.55;0.90;13.50;-0.86;-0.23;-0.15;-0.13;-0.59
&nbspP/EBIT;38.61;6.72;4.35;4.05;-1.44;-0.89;-0.59;-1.73;-1.65;0.24
&nbspP/EBITDA;0.00;6.47;4.20;3.93;-1.45;-0.90;-0.59;-1.40;-1.70;0.24
&nbspP/Ativos;1.97;0.44;0.45;0.24;0.42;0.50;0.82;0.66;0.50;0.84
&nbspEbitda;0;10;17;10;-47;-74;-83;-26;-18;158
&nbspMarg. Ebitda;0%;4%;5%;4%;-38%;-118%;-169%;-2.600%;-74%;609%
&nbspPSR;1.45;0.23;0.21;0.14;0.55;1.06;0.99;36.29;1.25;1.46
&nbspROE;24%;20%;20%;4%;-780%;109%;62%;14%;15%;-222%
&nbspROA;5%;5%;6%;1%;-25%;-64%;-222%;-62%;-56%;316%
&nbspROIC;6%;8%;13%;7%;-34%;-73%;-277%;-81%;-48%;392%
&nbspEV/EBIT;19.30;13.21;7.63;13.41;-3.34;-2.17;-1.88;-7.72;-7.69;0.80
&nbspEV/EBITDA;0.00;12.72;7.37;13.01;-3.37;-2.20;-1.89;-6.23;-7.92;0.79
&nbspDiv. Yield;0,00%;0,00%;1,94%;2,67%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;11%;0%;-3%;0%;0%;0%;0%;0%
&nbspBeta;0.00;-3.58;2.95;6.25;-0.27;-0.16;-4.90;-0.38;0.52;0.72
&nbspValorização;0%;-8%;32%;-40%;67%;-1%;263%;-70%;-17%;25%
&nbspNegócios/dia;1;4;2;1;2;1;19;31;91;375
&nbspVolume diário;0;0;0;0;0;0;0;0;0;1
