Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.26;0.33;0.30;0.33;0.07;-1.44;-3.15;-24.26;-6.30;-6.48;26.30
&nbspP/L;8.06;5.94;5.33;5.52;18.22;-0.71;-0.34;-0.04;-0.71;-0.52;0.23
&nbspVPA;1.07;1.19;1.48;1.67;1.67;0.19;-2.89;-39.07;-45.56;-44.44;-11.85
&nbspP/VP;1.95;1.67;1.07;1.10;0.81;5.51;-0.37;-0.02;-0.10;-0.08;-0.51
&nbspP/EBIT;8.06;4.46;4.27;3.10;3.64;-0.59;-0.38;-0.06;-1.14;-0.95;0.21
&nbspP/EBITDA;0.00;3.71;4.11;3.00;3.54;-0.59;-0.39;-0.06;-0.92;-0.98;0.21
&nbspP/Ativos;0.41;0.37;0.28;0.32;0.22;0.17;0.22;0.09;0.44;0.29;0.72
&nbspEbitda;0;14;10;17;10;-47;-74;-83;-26;-18;158
&nbspMarg. Ebitda;0%;7%;4%;5%;4%;-38%;-118%;-169%;-2.600%;-74%;609%
&nbspPSR;0.30;0.25;0.15;0.15;0.13;0.23;0.45;0.11;24.03;0.73;1.25
&nbspROE;24%;28%;20%;20%;4%;-780%;109%;62%;14%;15%;-222%
&nbspROA;5%;6%;5%;6%;1%;-25%;-64%;-222%;-62%;-56%;316%
&nbspROIC;6%;10%;8%;13%;7%;-34%;-73%;-277%;-81%;-48%;392%
&nbspEV/EBIT;19.30;10.93;13.21;7.63;13.41;-3.34;-2.17;-1.88;-7.72;-7.69;0.80
&nbspEV/EBITDA;0.00;9.10;12.72;7.37;13.01;-3.37;-2.20;-1.89;-6.23;-7.92;0.79
&nbspDiv. Yield;0,00%;0,00%;0,00%;2,72%;7,41%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;11%;0%;-3%;0%;0%;0%;0%;0%
&nbspBeta;0.63;-0.08;-0.52;0.96;-1.07;0.05;0.61;-1.32;0.52;0.73;0.57
&nbspValorização;-30%;-15%;-21%;16%;-26%;-24%;1%;-5%;-10%;-24%;72%
&nbspNegócios/dia;14;4;3;4;3;11;7;82;196;195;913
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;3
