Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.44;0.58;0.54;0.56;0.57;0.54;1.24;0.80;0.63;1.01;1.32;2.02;0.71
&nbspP/L;27.84;22.70;18.03;25.16;19.37;18.17;8.81;20.74;36.19;26.43;32.60;30.74;24.02
&nbspVPA;9.84;9.81;9.99;10.05;10.19;10.50;10.30;10.51;11.81;12.16;12.34;11.91;3.94
&nbspP/VP;1.24;1.34;0.98;1.39;1.09;0.94;1.06;1.57;1.93;2.20;3.48;5.20;4.32
&nbspP/EBIT;26.32;20.07;14.46;18.62;13.91;12.38;8.45;27.37;31.61;23.08;27.37;22.78;17.45
&nbspP/EBITDA;25.19;19.27;13.66;17.51;12.88;11.43;8.06;25.10;21.32;16.50;20.76;19.21;14.88
&nbspP/Ativos;1.16;1.15;0.80;1.12;0.81;0.70;0.74;0.96;1.25;1.47;2.21;2.75;2.28
&nbspEbitda;975;1349;1383;1545;1626;1558;2409;1193;2200;3345;4262;6644;7076
&nbspMarg. Ebitda;65%;64%;65%;73%;76%;77%;109%;51%;60%;69%;65%;71%;72%
&nbspPSR;16.35;12.37;8.93;12.74;9.83;8.77;8.76;12.91;12.77;11.43;13.46;13.68;10.72
&nbspROE;4%;6%;5%;6%;6%;5%;12%;8%;5%;8%;11%;17%;18%
&nbspROA;4%;5%;4%;4%;4%;4%;8%;5%;3%;6%;7%;9%;9%
&nbspROIC;4%;6%;6%;7%;7%;6%;13%;6%;5%;8%;11%;18%;20%
&nbspEV/EBIT;37.20;25.77;25.76;22.52;21.32;23.56;12.59;26.39;23.37;13.53;9.15;4.68;4.34
&nbspEV/EBITDA;35.59;24.73;24.35;21.17;19.75;21.76;12.00;24.20;15.77;9.67;6.94;3.95;3.70
&nbspDiv. Yield;2,12%;3,81%;5,71%;3,43%;5,24%;4,06%;7,25%;3,09%;1,98%;2,65%;1,93%;3,45%;15,85%
&nbspDiv. Payout;72%;85%;85%;107%;102%;76%;65%;40%;60%;73%;76%;0%;-15%
&nbspBeta;1.19;1.23;0.99;1.06;0.84;1.32;1.04;0.98;0.99;1.13;1.33;1.05;0.93
&nbspValorização;94%;5%;-23%;50%;-18%;-3%;23%;63%;43%;21%;57%;41%;-16%
&nbspNegócios/dia;9480;10713;13010;17585;18008;21782;20951;20429;20672;24353;25392;39678;44728
&nbspVolume diário;161;167;146;138;147;157;137;182;202;251;399;698;817
