Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.07;0.01;0.05;0.03;0.06;0.06;0.06;0.08;4.39;2.16;3.68;9.28;8.94;8.94
&nbspP/L;5.52;75.26;11.27;15.20;6.65;5.38;3.98;2.99;6.41;11.58;6.49;4.31;4.72;4.47
&nbspVPA;0.64;0.64;0.65;0.65;0.68;0.55;0.91;0.65;66.08;63.59;65.37;74.18;81.50;81.50
&nbspP/VP;0.63;1.03;0.83;0.61;0.54;0.60;0.28;0.39;0.43;0.39;0.37;0.54;0.52;0.49
&nbspROE;11%;1%;7%;4%;8%;11%;7%;13%;7%;3%;6%;13%;11%;11%
&nbspDiv. Yield;7,50%;6,06%;3,70%;5,00%;8,11%;6,06%;8,00%;12,00%;0,11%;2,44%;2,64%;3,52%;8,39%;6,50%
&nbspDiv. Payout;9%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;40%;40%
&nbspBeta;0.66;-0.13;0.70;0.43;0.00;0.37;0.29;0.27;-39.26;0.12;0.12;-0.11;0.86;0.36
&nbspValorização;-59%;66%;-15%;-23%;3%;-2%;-16%;12%;31%;-15%;-3%;69%;20%;2%
&nbspNegócios/dia;59;116;156;27;13;8;12;7;23;4;3;11;15;10
&nbspVolume diário;0;1;1;0;0;0;0;0;0;0;0;0;0;0
