Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.22;1.18;1.37;1.52;2.77;3.25;3.78;5.20;7.32;2.04;3.43;3.95;4.11;4.27;4.33;5.63;4.05;5.05;2.77;3.80;4.41;6.25;4.37;4.70
&nbspP/L;5.74;7.09;4.36;6.98;3.54;7.38;8.59;8.12;8.74;14.88;4.28;7.52;7.64;5.55;5.92;4.33;5.88;2.92;10.15;8.38;10.53;8.46;8.89;6.89
&nbspVPA;9.31;10.21;11.19;12.29;12.56;16.63;17.65;21.08;25.15;9.80;11.66;14.06;17.65;20.29;23.12;24.87;27.86;25.31;26.60;30.55;32.10;34.51;40.74;44.53
&nbspP/VP;0.75;0.82;0.53;0.86;0.78;1.44;1.84;2.00;2.54;3.10;1.26;2.11;1.78;1.17;1.11;0.98;0.85;0.58;1.06;1.04;1.45;1.53;0.95;0.73
&nbspROE;13%;12%;12%;12%;22%;20%;21%;25%;29%;21%;29%;28%;23%;21%;19%;23%;15%;20%;10%;12%;14%;18%;11%;11%
&nbspDiv. Yield;0,00%;2,62%;4,19%;2,93%;6,94%;3,46%;4,83%;2,58%;7,55%;4,70%;7,70%;4,81%;5,89%;8,02%;6,37%;9,71%;6,98%;14,04%;3,28%;2,95%;3,27%;3,69%;3,79%;6,23%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;43%;45%;37%;44%;42%;41%;41%;32%;24%;33%;40%;34%;30%
&nbspBeta;0.00;0.00;0.51;0.89;1.15;0.80;0.98;0.85;1.13;0.95;1.11;0.89;0.93;0.95;0.98;0.71;1.54;1.61;1.66;1.67;1.50;1.33;1.00;1.19
&nbspValorização;-12%;19%;-24%;73%;-3%;162%;46%;32%;70%;43%;-48%;112%;12%;-19%;13%;4%;6%;-28%;106%;19%;47%;13%;-25%;-10%
&nbspNegócios/dia;33;37;49;80;179;249;277;372;741;1576;3858;4762;7435;11308;13738;14767;18128;17797;21716;17344;25363;27495;42310;37162
&nbspVolume diário;1;0;0;1;2;4;5;9;25;61;94;76;126;157;158;179;212;144;213;241;422;560;638;602
