Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.02;1.08;1.25;1.51;1.42;14.55;6.45;11.25;5.05;3.97;2.48;2.57;2.66;2.89;2.98;2.86;3.60;3.42;2.72;2.18;2.84;2.80;1.87;1.98
&nbspP/L;6.18;10.62;9.36;6.97;7.20;0.92;8.84;5.73;16.43;12.98;8.05;11.65;9.65;8.76;11.38;11.16;9.54;6.00;10.73;14.70;11.92;12.17;12.97;11.17
&nbspVPA;6.39;6.61;5.81;6.78;7.60;85.45;32.07;39.59;24.61;15.04;11.16;13.42;12.77;14.56;18.35;16.90;19.43;17.68;18.09;16.44;18.02;16.58;16.20;14.78
&nbspP/VP;0.99;1.73;2.01;1.55;1.34;0.16;1.78;1.63;3.37;3.42;1.79;2.24;2.01;1.74;1.85;1.89;1.77;1.16;1.61;1.95;1.88;2.05;1.49;1.50
&nbspROE;16%;16%;22%;22%;19%;17%;20%;28%;21%;26%;22%;19%;21%;20%;16%;17%;19%;19%;15%;13%;16%;17%;12%;13%
&nbspDiv. Yield;0,00%;0,00%;4,87%;5,14%;5,88%;5,72%;13,30%;4,65%;2,91%;2,74%;4,40%;2,60%;3,04%;3,72%;2,74%;2,57%;3,47%;6,44%;4,26%;3,62%;2,98%;5,52%;2,81%;2,99%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;38%;29%;32%;33%;38%;26%;28%;37%;44%;34%;79%;9%;24%
&nbspBeta;0.00;0.00;0.71;0.84;0.78;0.67;0.70;0.76;0.93;0.82;0.88;0.84;0.90;0.91;0.70;0.75;1.31;1.14;1.11;1.20;1.34;1.13;1.11;1.26
&nbspValorização;-40%;82%;11%;-4%;-1%;48%;35%;138%;35%;24%;-44%;47%;4%;1%;38%;3%;12%;-24%;51%;27%;19%;21%;-23%;4%
&nbspNegócios/dia;14;42;48;46;65;76;42;57;83;89;141;251;381;949;2062;4795;4991;6083;6469;5610;8362;11532;16364;15240
&nbspVolume diário;0;1;1;1;1;1;2;3;4;4;13;13;16;21;32;53;42;43;42;45;69;94;118;155
