Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.16;0.28;0.46;0.62;0.50;0.50;-0.09;-0.49;-0.65;-0.41;-1.87;-1.93;-4.85;-3.72
&nbspP/L;10.05;23.26;20.72;8.96;13.52;11.63;-27.72;-2.69;-2.42;-2.39;-3.36;-3.06;-0.45;-0.62
&nbspVPA;2.25;2.51;2.70;3.96;3.98;4.10;3.00;2.35;1.56;0.98;6.20;7.14;-1.13;1.49
&nbspP/VP;0.73;2.58;3.54;1.41;1.71;1.43;0.84;0.56;1.01;1.01;1.02;0.83;-1.95;1.55
&nbspP/EBIT;7.76;14.66;14.12;7.56;23.59;12.40;-18.85;-2.45;-2.50;-2.24;-3.31;-3.01;-0.46;-0.70
&nbspP/EBITDA;5.57;13.18;13.12;7.03;18.78;10.36;-69.68;-3.10;-2.26;-2.37;-3.71;-3.20;-0.47;-0.70
&nbspP/Ativos;0.61;2.24;2.98;1.15;1.42;1.22;0.74;0.49;0.72;0.67;0.66;0.53;0.39;0.43
&nbspEbitda;49;81;122;152;69;108;-7;-78;-135;-107;-62;-67;-171;-119
&nbspMarg. Ebitda;24%;33%;33%;36%;18%;29%;-2%;-47%;-123%;-120%;-56%;-49%;-170%;-117%
&nbspPSR;1.32;4.30;4.27;2.54;3.39;2.99;1.69;1.46;2.77;2.85;2.06;1.57;0.79;0.82
&nbspROE;7%;11%;17%;16%;13%;12%;-3%;-21%;-42%;-42%;-30%;-27%;429%;-250%
&nbspROA;6%;10%;14%;13%;10%;10%;-3%;-18%;-30%;-28%;-20%;-17%;-86%;-70%
&nbspROIC;8%;15%;26%;18%;7%;12%;-4%;-22%;-31%;-36%;-24%;-21%;-105%;-79%
&nbspEV/EBIT;2.97;1.29;0.04;-0.29;-0.86;-0.50;-1.20;-0.44;-0.57;-0.33;-0.62;-0.53;-0.33;-0.47
&nbspEV/EBITDA;2.13;1.16;0.03;-0.27;-0.68;-0.42;-4.43;-0.56;-0.51;-0.35;-0.70;-0.57;-0.33;-0.47
&nbspDiv. Yield;0,00%;0,31%;1,26%;3,23%;4,71%;5,30%;30,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;7%;27%;33%;62%;60%;-859%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.61;0.39;0.97;0.95;0.85;0.57;0.65;0.57;0.45;0.97;0.54;1.24;1.20;0.62
&nbspValorização;-88%;299%;51%;-40%;26%;-11%;-45%;-46%;19%;-37%;-38%;-14%;-63%;5%
&nbspNegócios/dia;23;112;702;1077;2484;2749;1870;1144;289;589;1273;257;764;1403
&nbspVolume diário;5;1;8;6;8;9;5;2;0;2;2;1;1;5
