Unnamed: 0;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;5.26;1.73;2.10;2.01;2.02;1.77;3.33;1.93;1.97
&nbspP/L;4.66;18.61;11.57;14.10;14.07;15.59;11.33;15.39;11.92
&nbspVPA;14.75;3.96;3.79;4.14;4.45;3.42;2.62;3.19;3.58
&nbspP/VP;1.66;8.12;6.42;6.83;6.40;8.08;14.37;9.28;6.56
&nbspP/EBIT;3.91;15.54;9.74;11.73;12.14;12.50;8.77;12.39;9.57
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspP/Ativos;1.31;6.20;4.23;4.51;4.27;4.03;5.05;5.44;4.55
&nbspEbitda;0;0;0;0;0;0;0;0;0
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspPSR;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspROE;36%;44%;56%;48%;46%;52%;127%;60%;55%
&nbspROA;28%;33%;37%;32%;30%;26%;45%;35%;38%
&nbspROIC;42%;50%;50%;47%;51%;58%;118%;57%;63%
&nbspEV/EBIT;1.02;0.65;0.65;0.54;0.14;-0.29;-0.34;0.49;0.46
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspDiv. Yield;1,67%;3,73%;6,91%;5,90%;5,69%;11,20%;4,16%;9,38%;5,78%
&nbspDiv. Payout;59%;69%;80%;83%;81%;98%;88%;144%;68%
&nbspBeta;0.36;0.62;1.16;1.09;0.78;0.68;0.61;0.64;0.83
&nbspValorização;51%;40%;-16%;32%;9%;8%;40%;-15%;-19%
&nbspNegócios/dia;9958;12988;14594;14206;11099;12704;16445;21075;21546
&nbspVolume diário;114;135;149;132;109;95;118;136;152
