Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.45;-2.89;0.64;0.13;0.40;-1.39;-2.16;-2.35;-4.16;0.82;-1.21;-3.36;0.04;1.27;1.25
&nbspP/L;24.24;-0.64;9.11;55.74;13.22;-8.08;-5.31;-4.22;-3.20;14.87;-8.77;-1.49;323.89;7.99;7.54
&nbspVPA;7.07;4.01;5.03;5.20;5.84;5.27;3.05;2.70;-1.99;2.18;0.31;-0.80;-0.70;1.53;1.85
&nbspP/VP;1.56;0.46;1.16;1.34;0.91;2.13;3.77;3.67;-6.68;5.58;34.48;-6.24;-18.44;6.65;5.12
&nbspP/EBIT;14.72;1.08;4.27;3.52;1.97;3.85;3.63;2.97;2.77;3.29;2.47;2.78;3.54;3.11;2.75
&nbspP/EBITDA;12.86;0.97;4.09;0.00;0.00;3.42;3.23;2.70;2.56;3.01;2.16;2.10;3.00;2.66;2.35
&nbspP/Ativos;0.60;0.07;0.29;0.28;0.16;0.37;0.34;0.24;0.31;0.33;0.21;0.15;0.39;0.33;0.28
&nbspEbitda;64;143;149;0;0;469;517;653;997;967;1135;896;1726;2102;2203
&nbspMarg. Ebitda;4%;7%;6%;0%;0%;11%;9%;9%;10%;10%;9%;6%;10%;11%;10%
&nbspPSR;0.56;0.07;0.23;0.21;0.14;0.37;0.31;0.25;0.27;0.30;0.20;0.12;0.30;0.29;0.25
&nbspROE;6%;-72%;13%;2%;7%;-26%;-71%;-87%;209%;38%;-393%;420%;-6%;83%;68%
&nbspROA;2%;-11%;3%;0%;1%;-5%;-6%;-6%;-10%;2%;-2%;-10%;0%;4%;4%
&nbspROIC;5%;7%;8%;11%;12%;15%;15%;14%;18%;18%;14%;9%;20%;22%;20%
&nbspEV/EBIT;104.87;52.70;45.87;31.04;23.50;16.06;15.66;13.79;10.41;9.88;11.25;16.90;7.76;5.86;5.65
&nbspEV/EBITDA;91.60;47.27;43.96;0.00;0.00;14.30;13.93;12.54;9.63;9.06;9.82;12.73;6.57;5.00;4.84
&nbspDiv. Yield;0,00%;6,49%;0,00%;0,00%;1,13%;2,76%;0,00%;0,00%;0,00%;0,00%;2,44%;0,00%;0,00%;2,95%;10,90%
&nbspDiv. Payout;0%;0%;0%;0%;0%;-15%;0%;0%;0%;24%;-4%;0%;0%;20%;23%
&nbspBeta;0.67;0.52;0.74;0.71;0.59;0.23;0.43;0.47;0.55;0.30;0.19;0.48;0.71;0.66;0.63
&nbspValorização;-43%;-82%;185%;20%;-21%;126%;2%;-12%;40%;-3%;-8%;-54%;153%;-17%;1%
&nbspNegócios/dia;184;126;371;396;300;995;2784;2628;3089;3405;4166;3905;8236;19205;15470
&nbspVolume diário;6;2;2;3;1;6;11;10;9;10;14;11;30;100;94
