Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.06;0.87;1.10;0.57;0.05;0.07;0.08;0.47;0.51;0.55;0.57;0.67;0.73;0.66
&nbspP/L;5.41;7.98;5.53;13.15;10.10;7.25;4.75;3.79;5.16;6.52;7.21;9.34;7.45;7.91
&nbspVPA;3.74;4.40;5.22;5.51;0.58;0.61;0.67;3.67;3.99;4.41;4.72;5.09;5.42;5.58
&nbspP/VP;1.54;1.58;1.17;1.37;0.94;0.82;0.60;0.49;0.66;0.82;0.87;1.24;1.01;0.94
&nbspROE;28%;20%;21%;10%;9%;11%;13%;13%;13%;13%;12%;13%;13%;12%
&nbspDiv. Yield;3,30%;3,88%;3,61%;5,03%;38,89%;0,00%;0,00%;8,33%;4,94%;6,93%;5,33%;4,76%;2,94%;0,00%
&nbspDiv. Payout;9%;5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;32%;35%
&nbspBeta;1.73;0.28;0.67;0.78;0.00;0.10;0.23;-1.70;0.23;0.64;0.28;0.31;0.50;0.21
&nbspValorização;-54%;23%;-8%;32%;-18%;0%;-14%;0%;63%;43%;20%;60%;-14%;-7%
&nbspNegócios/dia;112;95;30;56;92;15;15;8;13;46;30;96;134;169
&nbspVolume diário;1;1;0;0;0;0;0;0;0;0;0;0;0;0
