Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.02;0.58;0.22;-1.61;-2.00
&nbspP/L;777.97;35.95;81.11;-6.76;-6.06
&nbspVPA;7.27;7.71;7.83;6.68;6.09
&nbspP/VP;2.41;2.68;2.27;1.63;1.99
&nbspP/EBIT;58.94;36.23;32.45;-7.78;-7.56
&nbspP/EBITDA;21.03;17.70;12.66;-16.95;-18.77
&nbspP/Ativos;1.61;1.82;1.15;0.76;0.91
&nbspEbitda;185;260;320;-177;-178
&nbspMarg. Ebitda;10%;11%;11%;-8%;-8%
&nbspPSR;2.18;1.96;1.41;1.34;1.55
&nbspROE;0%;7%;3%;-24%;-33%
&nbspROA;0%;5%;1%;-11%;-15%
&nbspROIC;6%;7%;5%;-13%;-15%
&nbspEV/EBIT;40.61;24.11;26.30;-8.76;-8.15
&nbspEV/EBITDA;14.49;11.78;10.27;-19.11;-20.22
&nbspDiv. Yield;0,00%;0,24%;0,51%;0,46%;0,00%
&nbspDiv. Payout;0%;0%;52%;0%;0%
&nbspBeta;0.35;0.42;0.51;1.07;0.87
&nbspValorização;-1%;17%;-14%;-37%;11%
&nbspNegócios/dia;4222;1782;3554;6860;6925
&nbspVolume diário;77;13;20;22;25
