Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.15;7.14;0.52;-0.35;-0.43;-2.81;-1.04;-6.97;1.11;2.35;1.29;-0.16;0.16;-0.04
&nbspP/L;28.05;1.23;18.23;-25.04;-18.10;-2.27;-2.34;-0.23;1.83;2.10;2.02;-12.96;14.11;-61.57
&nbspVPA;-7.56;-2.57;-2.16;-0.68;-0.28;-2.28;-1.11;-4.55;-5.05;-2.70;-4.46;-1.09;-0.94;-1.04
&nbspP/VP;-0.55;-3.43;-4.36;-12.86;-27.75;-2.80;-2.18;-0.35;-0.40;-1.83;-0.59;-1.86;-2.36;-2.50
&nbspP/EBIT;4.67;1.75;14.58;8.35;9.68;9.32;1.90;-0.81;7.32;1.49;-35.41;8.71;4.48;9.28
&nbspP/EBITDA;4.91;1.76;15.21;8.57;9.24;9.57;1.87;-0.85;5.26;1.42;-74.36;8.79;3.91;7.04
&nbspP/Ativos;0.39;0.75;0.76;0.69;0.58;0.49;0.17;0.12;0.15;0.39;0.22;0.81;0.86;1.05
&nbspEbitda;46;271;34;56;45;36;70;-100;21;188;-2;60;148;96
&nbspMarg. Ebitda;6%;32%;4%;7%;5%;3%;6%;-9%;2%;17%;0%;6%;13%;9%
&nbspPSR;0.30;0.57;0.63;0.56;0.42;0.30;0.11;0.08;0.10;0.24;0.14;0.50;0.50;0.61
&nbspROE;-2%;-278%;-24%;51%;153%;124%;93%;153%;-22%;-87%;-29%;14%;-17%;4%
&nbspROA;1%;61%;4%;-3%;-3%;-21%;-7%;-54%;8%;19%;11%;-6%;6%;-2%
&nbspROIC;9%;51%;6%;10%;7%;7%;12%;-24%;3%;33%;-1%;12%;27%;15%
&nbspEV/EBIT;15.98;2.68;20.20;13.76;18.63;22.38;11.44;-7.80;56.21;5.12;-242.29;16.40;7.33;13.26
&nbspEV/EBITDA;16.79;2.69;21.07;14.13;17.78;22.97;11.28;-8.17;40.38;4.88;-508.75;16.54;6.40;10.06
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.33;0.27;0.87;0.49;0.49;0.92;0.85;0.34;0.56;0.91;0.55;0.40;0.58;0.65
&nbspValorização;-71%;105%;5%;-6%;-4%;-20%;-62%;-36%;43%;146%;-47%;-26%;4%;20%
&nbspNegócios/dia;15;13;13;6;5;4;6;4;46;144;52;104;240;411
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;1
