Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.58;0.25;-1.13;-0.43;0.00;0.01;-0.26;0.23;0.19;0.43;0.54;0.56
&nbspP/L;-6.97;24.64;-4.57;-10.72;545.81;188.13;-5.06;8.19;10.07;24.80;17.53;43.13
&nbspVPA;0.81;5.72;4.77;4.31;3.91;3.92;3.67;3.83;3.59;4.09;4.41;4.51
&nbspP/VP;5.02;1.06;1.08;1.06;0.60;0.41;0.35;0.49;0.54;2.59;2.16;5.36
&nbspROE;-72%;4%;-24%;-10%;0%;0%;-7%;6%;5%;10%;12%;12%
&nbspDiv. Yield;0,25%;0,00%;1,36%;0,00%;0,00%;0,00%;0,00%;0,00%;3,08%;0,75%;3,78%;0,87%
&nbspDiv. Payout;0%;27%;0%;0%;25%;38%;0%;33%;31%;17%;31%;66%
&nbspBeta;0.88;0.46;0.00;0.34;0.36;0.50;0.42;0.71;0.33;0.90;1.47;1.10
&nbspValorização;-62%;48%;-15%;-10%;-46%;-29%;-27%;45%;6%;437%;-9%;158%
&nbspNegócios/dia;550;469;378;368;149;114;52;197;119;4010;8311;11932
&nbspVolume diário;5;4;3;4;1;0;0;0;0;21;36;100
