Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.30;2.78;5.10;5.79;1.36;-0.13;0.29;-7.41;1.80;6.66;3.42;-1.16;4.21;8.95
&nbspP/L;5.61;14.38;8.63;6.05;22.39;-150.97;40.87;-0.60;6.99;3.71;8.56;-30.55;13.59;7.08
&nbspVPA;16.98;16.78;20.09;24.81;26.65;25.84;25.57;22.65;22.63;25.19;28.62;27.47;32.34;34.95
&nbspP/VP;1.09;2.38;2.19;1.41;1.15;0.79;0.46;0.20;0.56;0.98;1.02;1.29;1.77;1.81
&nbspP/EBIT;4.38;10.37;6.27;5.65;18.73;373.46;72.42;-0.63;5.63;3.31;8.26;-29.66;13.64;7.09
&nbspP/EBITDA;3.35;8.40;5.52;5.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspP/Ativos;0.49;1.16;1.08;1.14;0.97;0.65;0.39;0.16;0.43;0.76;0.96;1.22;1.76;1.65
&nbspEbitda;1926;1665;2787;2168;0;0;0;0;0;0;0;0;0;0
&nbspMarg. Ebitda;47%;59%;58%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspPSR;1.58;4.96;3.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspROE;19%;17%;25%;23%;5%;-1%;1%;-33%;8%;26%;12%;-4%;13%;26%
&nbspROA;9%;8%;12%;19%;4%;0%;1%;-27%;6%;21%;11%;-4%;13%;23%
&nbspROIC;14%;12%;19%;21%;5%;0%;1%;-27%;9%;27%;12%;-4%;13%;26%
&nbspEV/EBIT;17.00;19.80;10.94;11.52;44.01;1324.93;442.80;-10.24;30.91;9.36;19.56;-58.82;16.66;7.75
&nbspEV/EBITDA;13.03;16.03;9.64;11.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspDiv. Yield;5,57%;2,60%;2,11%;4,43%;5,50%;6,11%;13,21%;21,17%;0,79%;5,26%;6,01%;3,59%;3,18%;7,82%
&nbspDiv. Payout;31%;37%;18%;27%;125%;-900%;539%;-12%;0%;8%;60%;-94%;61%;28%
&nbspBeta;0.97;1.02;0.97;0.84;0.74;0.92;0.54;1.12;1.49;1.15;0.76;0.98;0.91;0.76
&nbspValorização;-60%;107%;13%;-20%;-6%;-35%;-35%;-55%;197%;113%;20%;29%;68%;8%
&nbspNegócios/dia;12;10;10;9;12;39;60;68;82;124;98;106;119;169
&nbspVolume diário;0;0;0;0;0;1;0;0;0;1;1;1;2;3
