Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.99;2.74;1.90;3.35;3.57
&nbspP/L;17.31;9.38;15.84;6.60;7.36
&nbspVPA;7.58;8.31;7.52;10.48;10.90
&nbspP/VP;2.26;3.09;4.00;2.11;2.41
&nbspP/EBIT;9.39;12.55;25.89;5.65;6.20
&nbspP/EBITDA;7.74;10.68;18.62;5.05;5.45
&nbspP/Ativos;0.84;1.18;1.35;0.91;1.05
&nbspEbitda;2574;2803;1881;5103;5618
&nbspMarg. Ebitda;3%;3%;2%;6%;6%
&nbspPSR;0.24;0.31;0.37;0.32;0.35
&nbspROE;13%;33%;25%;32%;33%
&nbspROA;5%;13%;9%;14%;14%
&nbspROIC;10%;12%;6%;20%;21%
&nbspEV/EBIT;17.16;14.54;27.05;8.19;7.63
&nbspEV/EBITDA;14.15;12.38;19.46;7.33;6.71
&nbspDiv. Yield;0,00%;5,53%;7,28%;4,25%;9,47%
&nbspDiv. Payout;59%;32%;138%;28%;37%
&nbspBeta;0.62;1.13;0.77;1.09;1.04
&nbspValorização;7%;59%;20%;-26%;24%
&nbspNegócios/dia;10377;8154;18107;24486;27426
&nbspVolume diário;156;79;166;177;217
