Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.31;0.92;1.57;0.94;1.23;2.57;3.87;-0.45;-1.35;-5.50;0.37;1.71;1.79
&nbspP/L;144.06;29.57;23.16;44.66;40.15;24.73;14.33;-107.11;-27.08;-3.99;96.29;12.87;15.31
&nbspVPA;30.20;15.64;16.23;16.75;16.88;18.09;17.08;15.04;14.42;9.27;10.03;10.85;10.31
&nbspP/VP;1.50;1.75;2.24;2.52;2.92;3.51;3.24;3.21;2.54;2.37;3.51;2.03;2.65
&nbspP/EBIT;212.22;16.05;15.82;26.41;21.88;15.82;10.61;21.60;40.35;-86.49;9.69;6.29;7.60
&nbspP/EBITDA;28.87;10.25;10.97;15.58;13.68;11.68;8.09;14.32;15.69;23.56;6.42;3.42;3.96
&nbspP/Ativos;0.77;0.86;1.06;1.19;1.32;1.52;1.11;0.91;0.66;0.42;0.69;0.36;0.43
&nbspEbitda;684;2325;2887;2356;3136;4709;5545;2737;1895;756;4456;5241;5611
&nbspMarg. Ebitda;4%;10%;11%;8%;10%;16%;17%;8%;6%;3%;13%;13%;14%
&nbspPSR;1.24;1.05;1.23;1.29;1.40;1.90;1.39;1.16;0.89;0.59;0.86;0.45;0.54
&nbspROE;1%;6%;10%;6%;7%;14%;23%;-3%;-9%;-59%;4%;16%;17%
&nbspROA;1%;3%;5%;3%;3%;6%;8%;-1%;-2%;-11%;1%;3%;3%
&nbspROIC;0%;7%;8%;6%;8%;14%;15%;6%;2%;-1%;10%;9%;9%
&nbspEV/EBIT;344.90;18.39;14.28;21.76;15.24;8.13;7.65;19.43;50.86;-194.50;12.62;13.27;12.99
&nbspEV/EBITDA;46.93;11.74;9.90;12.84;9.53;6.00;5.84;12.88;19.78;52.97;8.36;7.21;6.76
&nbspDiv. Yield;0,51%;1,10%;2,00%;0,76%;1,79%;1,48%;2,15%;1,58%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;18%;19%;37%;53%;54%;33%;28%;-321%;0%;0%;0%;0%;0%
&nbspBeta;0.37;0.63;0.69;0.49;0.34;0.58;0.34;0.69;0.68;0.78;0.48;0.93;0.85
&nbspValorização;14%;21%;37%;19%;16%;32%;-10%;-10%;-24%;-41%;57%;-39%;27%
&nbspNegócios/dia;3079;3574;4947;6498;6850;8179;10354;9929;11248;17325;19293;26367;25541
&nbspVolume diário;70;54;71;82;104;121;170;119;128;152;208;216;253
