Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-342.51;6.47;7.93;1.59;0.29;1.87;-4.80;1.77;2.36;-0.65;-0.93;0.64;0.91;3.64;-0.92;5.19;3.65;-3.63;-8.80;-0.68
&nbspP/L;-0.64;10.33;16.89;11.98;52.36;7.69;-1.16;7.98;8.62;-19.66;-13.81;32.78;19.14;7.58;-37.41;8.27;12.99;-8.21;-2.68;-87.16
&nbspVPA;674.24;38.96;48.50;12.86;12.17;14.68;7.25;9.13;13.01;12.44;10.88;9.65;7.40;1.68;2.16;7.14;7.41;4.95;-4.85;-1.87
&nbspP/VP;0.33;1.72;2.76;1.48;1.23;0.98;0.77;1.54;1.57;1.03;1.18;2.18;2.36;16.44;15.88;6.01;6.39;6.03;-4.86;-31.65
&nbspP/EBIT;0.54;3.61;5.99;4.71;5.20;4.21;2.90;5.73;5.07;5.32;6.62;6.10;3.90;3.12;4.59;3.65;4.55;-424.95;-264.65;7.49
&nbspP/EBITDA;0.00;0.00;0.00;2.80;2.61;2.24;1.26;3.13;3.38;2.81;2.94;3.49;2.48;2.40;3.16;2.78;3.34;6.66;4.73;4.19
&nbspP/Ativos;0.05;0.33;0.81;0.44;0.33;0.30;0.12;0.33;0.47;0.27;0.25;0.35;0.28;0.37;0.53;0.64;0.64;0.35;0.22;0.50
&nbspEbitda;0;0;0;2453;2049;2788;2236;2337;4821;3647;3464;4796;5626;9167;8634;12288;11295;3576;3976;11263
&nbspMarg. Ebitda;0%;0%;0%;19%;16%;16%;12%;15%;19%;11%;10%;12%;12%;19%;18%;25%;19%;7%;7%;16%
&nbspPSR;0.11;0.45;0.99;0.53;0.41;0.35;0.16;0.48;0.64;0.31;0.29;0.41;0.30;0.47;0.57;0.69;0.65;0.45;0.32;0.69
&nbspROE;-51%;17%;16%;12%;2%;13%;-66%;19%;18%;-5%;-9%;7%;12%;217%;-42%;73%;49%;-73%;181%;36%
&nbspROA;-8%;3%;5%;4%;1%;4%;-11%;4%;5%;-1%;-2%;1%;1%;5%;-1%;8%;5%;-4%;-8%;-1%
&nbspROIC;11%;10%;16%;11%;8%;8%;5%;7%;12%;7%;5%;8%;10%;17%;16%;22%;19%;0%;0%;10%
&nbspEV/EBIT;38.87;41.95;25.35;34.74;50.67;36.34;59.00;43.20;17.18;29.79;38.58;21.72;17.26;9.25;10.22;6.72;7.54;-1180.62;-982.88;11.61
&nbspEV/EBITDA;0.00;0.00;0.00;20.68;25.43;19.28;25.64;23.59;11.46;15.73;17.15;12.41;10.95;7.12;7.04;5.12;5.54;18.49;17.55;6.49
&nbspDiv. Yield;0,00%;0,00%;1,69%;3,95%;1,00%;1,11%;11,53%;0,00%;0,00%;6,48%;4,77%;0,00%;3,49%;2,21%;7,36%;2,94%;3,99%;2,81%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;36%;336%;5%;-25%;0%;0%;-127%;-65%;0%;66%;17%;-274%;24%;52%;-23%;0%;0%
&nbspBeta;1.06;1.12;1.19;1.13;0.68;0.95;0.77;0.81;0.63;1.21;1.35;0.83;0.46;0.68;0.59;0.58;0.39;0.78;1.43;0.90
&nbspValorização;-30%;458%;85%;-42%;-17%;-5%;-59%;149%;43%;-34%;-2%;54%;-11%;67%;40%;30%;13%;-36%;-22%;153%
&nbspNegócios/dia;54;140;411;966;949;1004;1176;1684;2035;3713;5235;6872;6226;8392;8342;7693;8176;10454;14606;16644
&nbspVolume diário;0;3;14;28;24;26;16;13;21;27;22;29;26;35;41;57;81;91;97;163
