Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.40;-0.15;5.46;1.57;1.77;4.27;1.66;1.30;0.15;0.35;-1.00;1.27;1.58;-0.38;-0.46
&nbspP/L;-60.19;-59.73;3.94;10.88;10.24;6.32;10.27;12.60;75.52;33.68;-12.67;10.32;11.40;-25.88;-22.04
&nbspVPA;10.43;10.43;25.27;14.35;16.22;19.55;20.76;21.35;21.40;16.53;12.03;12.53;13.28;12.88;12.94
&nbspP/VP;2.30;0.87;0.85;1.19;1.12;1.38;0.82;0.77;0.52;0.72;1.06;1.04;1.36;0.77;0.78
&nbspP/EBIT;85.27;10.86;2.78;7.12;5.60;3.57;4.29;4.43;3.58;30.70;-12.12;6.94;8.01;-31.78;-25.25
&nbspP/EBITDA;0.00;6.62;2.76;7.04;5.59;3.56;4.27;4.40;3.55;28.49;-12.33;6.87;7.92;-36.16;-25.22
&nbspP/Ativos;1.47;0.46;0.51;0.65;0.57;0.68;0.41;0.38;0.25;0.38;0.62;0.63;0.84;0.45;0.45
&nbspEbitda;0;234;1560;980;1447;3422;1822;1717;1446;256;-900;1659;1989;-239;-350
&nbspMarg. Ebitda;0%;73%;398%;180%;168%;305%;146%;130%;106%;20%;-71%;139%;158%;-26%;-41%
&nbspPSR;19.77;4.81;11.00;12.63;9.40;10.85;6.23;5.70;3.77;5.68;8.76;9.53;12.54;9.45;10.25
&nbspROE;-4%;-1%;22%;11%;11%;22%;8%;6%;1%;2%;-8%;10%;12%;-3%;-4%
&nbspROA;-2%;-1%;13%;6%;6%;11%;4%;3%;0%;1%;-5%;6%;7%;-2%;-2%
&nbspROIC;2%;4%;18%;9%;11%;20%;10%;9%;7%;1%;-6%;10%;11%;-2%;-2%
&nbspEV/EBIT;210.21;74.95;6.92;10.92;8.25;3.80;7.47;8.03;9.64;57.24;-11.89;6.77;5.69;-43.00;-32.64
&nbspEV/EBITDA;0.00;45.71;6.86;10.78;8.24;3.79;7.43;7.98;9.58;53.11;-12.09;6.69;5.63;-48.94;-32.60
&nbspDiv. Yield;0,00%;0,00%;0,00%;1,40%;0,94%;0,56%;2,76%;2,80%;4,14%;0,00%;0,55%;0,69%;4,93%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;8%;0%;4%;28%;36%;310%;0%;-5%;6%;60%;-1%;-1%
&nbspBeta;0.87;1.05;0.58;0.65;0.75;0.64;0.75;1.19;1.13;0.94;1.22;0.98;0.84;1.17;1.25
&nbspValorização;52%;-61%;124%;60%;9%;43%;-37%;-1%;-27%;10%;22%;6%;43%;-46%;6%
&nbspNegócios/dia;311;166;603;1832;5045;7624;10122;8672;9381;12059;13594;14735;19008;35390;29943
&nbspVolume diário;11;4;10;27;37;54;80;49;45;65;71;68;106;174;168
