Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;5.78;1.87;3.94;0.24;0.90;-2.58;0.10;0.68;0.03;0.63;0.42;0.42
&nbspP/L;3.14;9.91;6.48;78.98;11.45;-3.26;74.56;15.64;238.46;22.81;23.62;21.82
&nbspVPA;19.42;20.51;25.72;25.58;20.35;15.77;15.86;14.43;14.42;14.66;14.81;14.82
&nbspP/VP;0.94;0.90;0.99;0.73;0.50;0.53;0.47;0.73;0.57;0.99;0.67;0.61
&nbspP/EBIT;2.12;4.55;3.49;7.89;3.57;-36.39;16.09;8.88;6.43;9.20;13.67;12.96
&nbspP/EBITDA;2.12;4.54;3.49;7.88;3.57;-36.79;15.99;8.86;6.41;9.18;13.59;12.89
&nbspP/Ativos;0.50;0.52;0.52;0.36;0.26;0.27;0.24;0.44;0.31;0.72;0.46;0.40
&nbspEbitda;1197;733;2278;712;857;-68;140;487;521;776;358;347
&nbspMarg. Ebitda;587%;214%;362%;77%;103%;-10%;30%;113%;124%;205%;114%;109%
&nbspPSR;12.42;9.71;12.61;6.08;3.66;3.52;4.81;10.04;7.93;18.78;15.55;14.02
&nbspROE;30%;9%;15%;1%;4%;-16%;1%;5%;0%;4%;3%;3%
&nbspROA;16%;5%;8%;0%;2%;-8%;0%;3%;0%;3%;2%;2%
&nbspROIC;25%;14%;15%;5%;8%;-1%;2%;6%;6%;9%;4%;3%
&nbspEV/EBIT;5.12;7.61;4.04;12.83;9.46;-100.11;49.76;12.99;12.61;6.53;15.71;18.34
&nbspEV/EBITDA;5.11;7.60;4.04;12.81;9.45;-101.21;49.44;12.95;12.57;6.52;15.62;18.23
&nbspDiv. Yield;0,17%;0,59%;0,75%;2,74%;58,93%;26,48%;0,00%;0,19%;1,95%;0,00%;0,91%;2,20%
&nbspDiv. Payout;0%;4%;5%;225%;673%;-86%;7%;2%;464%;0%;20%;20%
&nbspBeta;0.46;0.56;0.26;0.66;0.88;0.62;0.41;0.66;0.45;0.64;0.86;0.84
&nbspValorização;43%;0%;42%;-26%;-18%;5%;-10%;42%;-20%;77%;-32%;-4%
&nbspNegócios/dia;241;1152;3841;6694;5875;3343;1528;2250;1878;3139;8540;5715
&nbspVolume diário;7;13;29;47;33;18;6;7;7;13;30;17
