Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.24;1.44;1.32;1.81;2.21;2.00;1.93;1.69;2.07;1.61;2.57;2.56;3.29;1.78;1.83
&nbspP/L;5.13;4.09;10.10;9.88;8.37;7.95;8.13;7.95;3.35;6.95;8.54;9.37;7.58;11.19;10.74
&nbspVPA;6.83;7.53;8.33;9.43;10.76;11.97;12.59;13.86;15.17;15.75;17.19;17.79;19.05;20.40;20.98
&nbspP/VP;1.68;0.78;1.60;1.90;1.72;1.33;1.25;0.97;0.46;0.71;1.28;1.35;1.31;0.97;0.94
&nbspROE;33%;19%;16%;19%;21%;17%;15%;12%;14%;10%;15%;14%;17%;9%;9%
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,05%;2,95%;5,08%;3,53%;1,51%;1,48%
&nbspDiv. Payout;0%;0%;42%;36%;32%;36%;0%;10%;43%;38%;28%;16%;41%;30%;35%
&nbspBeta;0.82;0.27;0.19;1.01;0.77;1.70;-1.39;-0.83;1.28;0.56;-3.72;1.63;0.32;0.06;0.82
&nbspValorização;-45%;-44%;128%;34%;3%;-20%;-4%;23%;-47%;84%;85%;28%;3%;-19%;7%
&nbspNegócios/dia;10;3;3;3;3;3;4;2;3;3;8;3;1;5;6
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
