Unnamed: 0;2013;2014;2015;2016;2017;2018;2019;2021
&nbspLPA;-7.08;-2.26;-1.24;-2.73;-1.24;-1.17;-1.52;-1.52
&nbspP/L;-1.38;-3.14;-3.90;-2.73;-3.62;-2.60;-1.86;-5.93
&nbspVPA;7.43;2.59;0.97;-3.01;1.57;0.52;-0.99;-0.99
&nbspP/VP;1.32;2.75;5.00;-2.47;2.87;5.87;-2.87;-9.13
&nbspP/EBIT;-3.86;3.42;0.83;26.36;-8.05;-260.21;7.89;25.09
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;7.53;23.95
&nbspP/Ativos;0.21;0.15;0.09;0.16;0.47;0.35;0.21;0.68
&nbspEbitda;0;0;0;0;0;0;384;384
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;6%;6%
&nbspPSR;0.48;0.35;0.17;0.23;0.65;0.50;0.44;1.40
&nbspROE;-95%;-88%;-128%;91%;-79%;-225%;154%;154%
&nbspROA;-15%;-5%;-2%;-6%;-13%;-14%;-12%;-12%
&nbspROIC;-7%;6%;15%;1%;-8%;0%;3%;3%
&nbspEV/EBIT;-24.11;29.58;10.68;224.22;-21.88;-1152.82;41.74;41.74
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;39.84;39.84
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.08;0.38;-0.12;0.44;0.56;0.49;0.19;0.88
&nbspValorização;-24%;-28%;-32%;54%;-40%;-34%;-8%;69%
&nbspNegócios/dia;30;7;3;43;100;84;40;517
&nbspVolume diário;0;0;0;0;0;0;0;2
