Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.61;0.57;0.45;0.32;-0.56;-1.09;-1.00;-0.64;-1.62;-1.42;-0.91;-0.87;-0.61;-0.38;-0.48
&nbspP/L;116.91;41.63;105.35;99.25;-16.16;-15.65;-15.27;-35.17;-9.38;-7.19;-22.58;-48.40;-103.43;-200.62;-144.97
&nbspVPA;2.88;1.88;2.23;2.04;7.12;6.19;5.21;12.05;10.52;8.99;8.61;7.73;10.96;16.94;16.49
&nbspP/VP;24.69;12.67;21.41;15.44;1.26;2.75;2.93;1.86;1.45;1.13;2.38;5.43;5.74;4.46;4.18
&nbspP/EBIT;29.23;9.61;14.59;8.45;6.07;16.53;8.89;15.62;9.51;9.68;37.51;-873.40;316.25;233.87;301.27
&nbspP/EBITDA;0.00;7.28;12.38;7.45;4.65;10.47;6.46;11.10;6.01;5.35;15.95;46.60;52.51;54.11;52.14
&nbspP/Ativos;4.39;1.07;2.27;1.08;0.35;0.56;0.37;0.75;0.39;0.34;0.74;1.47;2.05;1.87;1.97
&nbspEbitda;0;360;426;467;309;254;376;516;652;653;583;412;626;782;740
&nbspMarg. Ebitda;0%;12%;11%;11%;7%;5%;6%;6%;7%;8%;8%;6%;9%;8%;7%
&nbspPSR;3.18;0.84;1.39;0.85;0.34;0.55;0.40;0.72;0.43;0.41;1.31;2.96;4.86;4.18;3.39
&nbspROE;21%;30%;20%;16%;-8%;-18%;-19%;-5%;-15%;-16%;-11%;-11%;-6%;-2%;-3%
&nbspROA;4%;3%;2%;1%;-2%;-4%;-2%;-2%;-4%;-5%;-3%;-3%;-2%;-1%;-1%
&nbspROIC;24%;15%;20%;25%;10%;7%;10%;9%;8%;6%;4%;0%;2%;2%;2%
&nbspEV/EBIT;147.27;149.76;113.11;98.99;171.25;253.42;150.61;108.48;99.63;115.55;166.13;-1873.69;378.49;199.61;286.04
&nbspEV/EBITDA;0.00;113.53;95.94;87.21;131.23;160.52;109.36;77.10;62.95;63.89;70.63;99.97;62.84;46.18;49.50
&nbspDiv. Yield;0,00%;0,55%;0,33%;0,32%;0,67%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;22%;36%;31%;-7%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;1.04;1.27;0.91;0.94;1.09;1.43;1.49;0.17;0.67;0.79;1.14;1.43;1.33;1.15;0.73
&nbspValorização;-17%;-67%;96%;-32%;-72%;79%;-9%;66%;-31%;-30%;101%;110%;46%;16%;-8%
&nbspNegócios/dia;867;1347;1595;1920;2084;2755;2209;1615;1692;2384;4120;8678;10897;17470;18273
&nbspVolume diário;53;41;27;26;14;11;9;15;10;10;25;71;123;323;292
