Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.08;1.92;0.27;0.19;-0.30;0.05;0.39;-0.70;-0.83;1.19;0.44;0.50;0.52;0.38
&nbspP/L;-21.44;3.12;14.04;14.52;-6.85;40.29;3.86;-1.40;-6.02;7.21;63.27;13.69;10.85;15.97
&nbspVPA;-1.06;0.60;0.92;1.08;0.78;0.44;0.78;0.00;-0.93;0.16;0.62;1.74;2.30;2.33
&nbspP/VP;-1.65;10.08;4.13;2.54;2.60;4.74;1.93;0.00;-5.35;55.26;44.81;3.94;2.46;2.61
&nbspP/EBIT;3.57;2.55;6.38;4.84;9.42;2.78;1.26;1.08;16.06;15.79;37.09;7.37;14.92;21.30
&nbspP/EBITDA;2.94;2.64;6.38;4.48;4.36;1.39;0.84;0.38;9.20;11.51;23.95;6.75;9.04;11.76
&nbspP/Ativos;0.38;1.36;0.79;0.44;0.29;0.30;0.21;0.14;0.86;1.50;5.03;1.18;0.85;0.93
&nbspEbitda;22;84;22;23;17;58;69;101;21;29;45;43;26;22
&nbspMarg. Ebitda;10%;38%;9%;8%;6%;20%;24%;35%;8%;11%;18%;19%;17%;15%
&nbspPSR;0.30;1.00;0.57;0.37;0.28;0.28;0.20;0.13;0.70;1.28;4.35;1.31;1.53;1.76
&nbspROE;8%;323%;29%;18%;-38%;12%;50%;0%;89%;767%;71%;29%;23%;16%
&nbspROA;-2%;44%;6%;3%;-4%;1%;6%;-10%;-14%;21%;8%;9%;8%;6%
&nbspROIC;11%;56%;13%;10%;4%;13%;21%;16%;6%;11%;16%;17%;6%;5%
&nbspEV/EBIT;19.41;3.58;14.42;17.06;48.29;13.53;8.40;11.32;31.53;16.44;10.53;8.26;19.83;26.22
&nbspEV/EBITDA;15.97;3.71;14.41;15.79;22.34;6.78;5.63;3.94;18.05;11.99;6.80;7.56;12.02;14.48
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.48;1.10;0.66;0.51;0.00;0.17;0.02;0.06;2.87;0.03;0.28;0.74;0.30;0.45
&nbspValorização;-63%;249%;144%;-28%;-24%;7%;-29%;-28%;-40%;83%;210%;136%;-18%;7%
&nbspNegócios/dia;7;49;29;7;5;4;7;7;11;5;4;74;342;287
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;1;1
