Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.61;0.89;0.65;1.08;1.08
&nbspP/L;12.74;7.94;13.89;10.24;8.94
&nbspVPA;4.44;5.29;6.08;7.26;7.26
&nbspP/VP;1.76;1.33;1.48;1.52;1.33
&nbspP/EBIT;8.03;7.57;11.15;7.92;6.91
&nbspP/EBITDA;6.65;6.05;8.26;6.59;5.75
&nbspP/Ativos;0.85;0.65;0.69;0.62;0.54
&nbspEbitda;483;478;404;621;621
&nbspMarg. Ebitda;10%;10%;7%;9%;9%
&nbspPSR;0.69;0.61;0.62;0.62;0.54
&nbspROE;14%;17%;11%;15%;15%
&nbspROA;7%;8%;5%;6%;6%
&nbspROIC;15%;11%;8%;11%;11%
&nbspEV/EBIT;10.47;12.09;15.75;9.68;9.70
&nbspEV/EBITDA;8.68;9.67;11.67;8.06;8.07
&nbspDiv. Yield;2,04%;2,27%;1,55%;5,42%;6,21%
&nbspDiv. Payout;65%;18%;30%;15%;15%
&nbspBeta;0.54;0.38;0.51;0.58;0.58
&nbspValorização;-11%;-8%;26%;-10%;-11%
&nbspNegócios/dia;2491;2125;2985;6249;5423
&nbspVolume diário;22;7;8;18;15
