Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.37;0.70;0.52;0.49;0.02;0.29;0.48;0.86;1.10;0.81;0.67;1.15;1.24
&nbspP/L;22.83;9.66;8.93;8.48;133.85;10.83;6.23;5.69;8.95;8.47;18.30;13.14;19.01
&nbspVPA;2.70;3.13;3.24;3.46;3.57;3.80;4.09;4.62;5.33;5.74;6.15;6.99;7.22
&nbspP/VP;3.14;2.16;1.42;1.21;0.87;0.82;0.73;1.06;1.85;1.20;1.99;2.16;3.27
&nbspP/EBIT;10.81;6.08;5.49;5.42;14.87;4.81;3.04;3.53;5.97;6.00;11.39;8.88;12.84
&nbspP/EBITDA;5.53;4.24;3.40;3.05;3.96;2.44;1.78;2.25;4.10;3.53;4.95;4.82;7.26
&nbspP/Ativos;1.41;1.05;0.65;0.58;0.39;0.37;0.33;0.58;1.03;0.73;1.04;1.17;1.83
&nbspEbitda;74;77;63;64;34;53;70;91;100;81;104;131;136
&nbspMarg. Ebitda;19%;20%;16%;17%;10%;13%;15%;20%;21%;19%;24%;29%;29%
&nbspPSR;1.04;0.86;0.54;0.52;0.38;0.33;0.27;0.44;0.85;0.69;1.18;1.38;2.12
&nbspROE;14%;22%;16%;14%;1%;8%;12%;19%;21%;14%;11%;16%;17%
&nbspROA;6%;11%;7%;7%;0%;3%;5%;10%;12%;9%;6%;9%;10%
&nbspROIC;14%;20%;14%;12%;3%;8%;12%;19%;22%;14%;11%;17%;18%
&nbspEV/EBIT;27.65;18.85;26.53;28.77;118.76;39.18;25.39;17.93;14.50;21.25;24.09;14.72;13.50
&nbspEV/EBITDA;14.15;13.15;16.41;16.21;31.61;19.88;14.90;11.44;9.98;12.52;10.46;7.99;7.63
&nbspDiv. Yield;0,00%;3,25%;7,17%;4,06%;0,00%;2,89%;5,70%;6,33%;3,65%;5,08%;2,04%;1,92%;1,99%
&nbspDiv. Payout;0%;6%;58%;26%;700%;0%;15%;17%;26%;47%;29%;19%;19%
&nbspBeta;0.40;0.43;0.48;0.33;0.32;0.63;0.58;0.41;0.95;0.80;0.70;0.52;0.55
&nbspValorização;245%;-22%;-25%;-3%;-25%;5%;9%;80%;108%;-30%;81%;18%;60%
&nbspNegócios/dia;47;47;78;63;48;64;69;167;780;644;494;1078;1363
&nbspVolume diário;1;1;0;0;0;0;0;0;3;2;1;4;6
