Unnamed: 0;2020;2021
&nbspLPA;0.17;0.13
&nbspP/L;90.37;375.73
&nbspVPA;2.82;2.95
&nbspP/VP;5.32;17.12
&nbspP/EBIT;65.44;266.14
&nbspP/EBITDA;62.73;245.52
&nbspP/Ativos;5.03;16.05
&nbspEbitda;30;26
&nbspMarg. Ebitda;24%;18%
&nbspPSR;15.18;44.05
&nbspROE;6%;5%
&nbspROA;6%;4%
&nbspROIC;63%;15%
&nbspEV/EBIT;212.24;255.01
&nbspEV/EBITDA;203.46;235.25
&nbspDiv. Yield;0,00%;0,08%
&nbspDiv. Payout;0%;0%
&nbspBeta;0.38;0.93
&nbspValorização;60%;196%
&nbspNegócios/dia;2165;11393
&nbspVolume diário;10;105
