Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.51;2.07;2.31;1.82;0.45;0.13;1.87;0.43;0.59;0.85;0.81
&nbspP/L;10.73;12.03;9.08;6.81;19.06;78.98;4.75;20.02;42.81;16.09;14.69
&nbspVPA;6.38;8.69;14.99;18.57;17.42;17.65;15.69;14.82;19.15;19.26;19.35
&nbspP/VP;2.55;2.87;1.40;0.67;0.49;0.56;0.57;0.59;1.33;0.71;0.61
&nbspP/EBIT;8.12;9.20;7.64;4.20;3.96;4.11;2.26;4.86;15.48;8.54;7.76
&nbspP/EBITDA;7.82;8.78;7.36;4.07;3.60;3.71;2.06;4.11;13.36;5.86;5.23
&nbspP/Ativos;0.99;1.11;0.56;0.24;0.21;0.25;0.29;0.29;0.79;0.42;0.37
&nbspEbitda;180;236;237;252;286;320;518;253;314;357;346
&nbspMarg. Ebitda;58%;49%;74%;66%;74%;76%;116%;52%;67%;73%;73%
&nbspPSR;4.55;4.28;5.41;2.70;2.68;2.81;2.39;2.13;8.93;4.30;3.81
&nbspROE;24%;24%;15%;10%;3%;1%;12%;3%;3%;4%;4%
&nbspROA;9%;9%;6%;3%;1%;0%;6%;1%;2%;3%;3%
&nbspROIC;16%;14%;8%;7%;6%;7%;14%;7%;6%;5%;5%
&nbspEV/EBIT;12.66;11.19;14.11;15.37;14.53;13.55;6.74;14.98;10.92;11.95;12.42
&nbspEV/EBITDA;12.18;10.69;13.58;14.92;13.22;12.22;6.13;12.66;9.43;8.21;8.37
&nbspDiv. Yield;1,60%;1,32%;4,19%;3,47%;3,26%;0,51%;32,47%;11,49%;0,00%;6,79%;8,11%
&nbspDiv. Payout;17%;16%;38%;23%;43%;33%;154%;231%;0%;103%;109%
&nbspBeta;0.27;0.14;0.19;0.12;0.26;0.20;0.11;0.13;0.28;1.03;0.71
&nbspValorização;15%;57%;-12%;-38%;-29%;15%;-10%;4%;197%;-43%;-11%
&nbspNegócios/dia;13;25;23;6;4;3;5;13;276;1730;1936
&nbspVolume diário;1;1;1;0;0;0;0;0;2;7;6
