Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.44;2.17;2.63;5.06;1.37;1.47;1.80;1.46;1.54;0.52;0.68;0.78;0.77;0.45;0.93;1.01;0.32;0.71;0.04;0.33
&nbspP/L;-5.14;11.89;22.09;14.62;21.03;18.69;13.14;27.38;30.44;23.66;28.76;22.90;20.12;28.12;17.19;15.98;35.46;26.85;312.75;40.71
&nbspVPA;6.07;7.63;10.75;13.79;3.92;4.06;3.98;6.59;7.11;1.82;1.90;1.97;2.08;2.21;2.35;4.81;4.17;4.18;3.93;4.43
&nbspP/VP;1.22;3.38;5.41;5.37;7.37;6.77;5.94;6.05;6.59;6.71;10.21;9.00;7.41;5.68;6.80;3.36;2.68;4.54;3.43;3.00
&nbspP/EBIT;2.19;6.11;10.99;9.28;13.60;9.86;6.96;11.90;12.16;9.48;13.75;11.51;9.50;8.12;6.55;7.32;9.63;10.81;13.37;9.11
&nbspP/EBITDA;0.00;0.00;0.00;6.79;9.75;7.68;5.53;9.24;10.25;7.96;11.30;9.54;7.65;6.24;5.44;5.64;5.93;6.98;6.11;4.89
&nbspP/Ativos;0.27;0.96;2.04;2.18;3.04;2.62;1.52;1.94;1.62;1.68;2.40;2.24;1.58;1.02;1.15;0.93;0.73;1.15;0.81;0.78
&nbspEbitda;0;0;0;1098;1193;1443;1722;1905;2020;2712;3038;3290;3558;3552;5184;5052;3818;5489;4456;5482
&nbspMarg. Ebitda;0%;0%;0%;56%;56%;61%;63%;62%;43%;53%;53%;55%;48%;42%;52%;48%;39%;52%;45%;50%
&nbspPSR;0.63;1.92;4.00;3.82;5.42;4.71;3.48;5.70;4.45;4.20;5.95;5.22;3.68;2.61;2.82;2.70;2.33;3.62;2.75;2.45
&nbspROE;-24%;28%;24%;37%;35%;36%;45%;22%;22%;28%;36%;39%;37%;20%;40%;21%;8%;17%;1%;7%
&nbspROA;-5%;8%;9%;15%;14%;14%;12%;7%;5%;7%;8%;10%;8%;4%;7%;6%;2%;4%;0%;2%
&nbspROIC;13%;16%;19%;24%;23%;27%;22%;17%;15%;19%;19%;22%;19%;14%;20%;15%;9%;13%;8%;11%
&nbspEV/EBIT;102.18;80.92;54.18;36.35;34.48;26.44;22.96;22.14;19.53;14.89;14.01;12.73;12.77;14.49;9.55;10.21;17.75;11.77;20.35;13.78
&nbspEV/EBITDA;0.00;0.00;0.00;26.62;24.71;20.60;18.26;17.21;16.46;12.50;11.52;10.55;10.28;11.14;7.92;7.87;10.93;7.61;9.29;7.40
&nbspDiv. Yield;0,00%;1,36%;2,74%;4,05%;3,05%;4,80%;6,35%;3,79%;4,12%;14,89%;3,08%;4,16%;5,19%;4,78%;4,39%;3,96%;5,36%;4,06%;3,56%;2,03%
&nbspDiv. Payout;0%;0%;0%;60%;64%;90%;83%;94%;125%;88%;90%;97%;106%;137%;78%;75%;204%;112%;1.133%;150%
&nbspBeta;0.07;0.31;0.39;0.42;0.86;0.76;0.67;0.50;0.69;0.47;0.36;0.47;0.96;1.01;1.00;1.13;0.87;1.01;1.24;1.16
&nbspValorização;-58%;275%;124%;31%;63%;-4%;-11%;71%;22%;9%;64%;-3%;-7%;-11%;38%;6%;-29%;66%;-28%;1%
&nbspNegócios/dia;6;34;113;162;598;855;1110;1682;2284;3589;9920;10779;13033;15346;14175;17489;21207;23249;24522;21919
&nbspVolume diário;1;1;4;9;17;29;23;24;44;39;67;84;77;79;74;103;93;118;130;146
