Unnamed: 0;2019;2020;2021
&nbspLPA;3.15;-0.54;-0.81
&nbspP/L;5.70;-24.08;-17.76
&nbspVPA;8.89;8.61;8.19
&nbspP/VP;2.02;1.50;1.75
&nbspP/EBIT;5.35;-24.38;-15.63
&nbspP/EBITDA;3.54;10.23;13.24
&nbspP/Ativos;0.92;0.54;0.65
&nbspEbitda;1562;389;334
&nbspMarg. Ebitda;30%;10%;9%
&nbspPSR;1.05;0.97;1.14
&nbspROE;35%;-6%;-10%
&nbspROA;16%;-2%;-4%
&nbspROIC;22%;-4%;-6%
&nbspEV/EBIT;5.48;-25.89;-16.49
&nbspEV/EBITDA;3.62;10.86;13.96
&nbspDiv. Yield;0,00%;0,00%;0,00%
&nbspDiv. Payout;6%;-41%;-27%
&nbspBeta;0.68;1.28;0.96
&nbspValorização;5%;-29%;12%
&nbspNegócios/dia;4043;7058;6443
&nbspVolume diário;38;29;26
