Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;9.19;0.32;-4.42;-8.68;-36.47;6.70;0.38;-1.83;-0.36;0.55;-7.18;2.33;0.29;0.34;0.46;-0.60;1.72;-0.18;0.93;-0.51;0.90;3.55;5.28;5.47
&nbspP/L;2.06;25.92;-3.47;-1.52;-0.18;1.66;26.55;-5.72;-54.58;64.59;-1.50;8.32;75.50;81.28;36.00;-33.42;13.05;-55.68;13.42;-21.66;23.26;9.16;5.27;5.03
&nbspVPA;169.28;116.49;114.11;105.62;69.14;75.84;76.20;66.13;30.98;31.53;24.13;26.02;31.98;30.89;30.16;28.45;26.35;22.32;21.87;21.72;21.69;21.81;22.00;21.53
&nbspP/VP;0.11;0.07;0.13;0.12;0.09;0.15;0.13;0.16;0.63;1.12;0.45;0.75;0.68;0.88;0.55;0.70;0.85;0.46;0.57;0.51;0.97;1.49;1.26;1.28
&nbspP/EBIT;1.04;2.32;-5.32;-1.96;-0.23;0.51;1.06;1.75;8.55;15.09;-2.13;6.54;10.55;9.72;5.65;38.11;7.22;7.42;14.52;-31.10;23.02;22.04;11.20;9.47
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.10;-3.00;4.37;4.90;5.26;3.12;7.65;4.43;3.67;6.99;18.44;11.18;12.33;7.12;6.36
&nbspP/Ativos;0.06;0.04;0.07;0.06;0.03;0.05;0.05;0.06;0.32;0.59;0.21;0.39;0.38;0.49;0.32;0.43;0.50;0.28;0.36;0.33;0.66;0.82;0.63;0.62
&nbspEbitda;0;0;0;0;0;0;0;0;0;883;-1177;1455;1464;1701;1730;852;1657;910;586;197;614;863;1279;1416
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;40%;-47%;55%;50%;58%;52%;22%;34%;31%;35%;13%;38%;55%;67%;70%
&nbspPSR;0.45;0.35;1.08;0.59;0.32;0.60;0.50;0.61;3.10;5.30;1.43;2.40;2.47;3.02;1.61;1.67;1.51;1.13;2.45;2.47;4.20;6.78;4.75;4.48
&nbspROE;5%;0%;-4%;-8%;-53%;9%;1%;-3%;-1%;2%;-30%;9%;1%;1%;2%;-2%;7%;-1%;4%;-2%;4%;16%;24%;25%
&nbspROA;3%;0%;-2%;-4%;-17%;3%;0%;-1%;-1%;1%;-14%;5%;1%;1%;1%;-1%;4%;-1%;3%;-2%;3%;9%;12%;12%
&nbspROIC;6%;2%;-1%;-3%;-13%;10%;5%;3%;4%;4%;-10%;6%;4%;5%;6%;1%;8%;4%;3%;-1%;3%;4%;6%;7%
&nbspEV/EBIT;8.08;45.20;-56.73;-25.70;-7.45;9.03;20.27;24.86;17.64;15.23;-7.18;11.34;15.59;11.09;10.41;52.19;7.21;18.52;28.60;-69.05;26.19;18.84;11.21;9.37
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.21;-10.11;7.57;7.24;6.00;5.75;10.47;4.42;9.16;13.77;40.95;12.72;10.55;7.12;6.29
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,55%;1,37%;2,56%;9,34%;7,14%;14,20%;47,55%;3,92%;4,32%;0,19%;2,74%;8,20%;9,45%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;-3%;14%;115%;217%;331%;-236%;185%;-2.632%;59%;-92%;8%;26%;35%;34%
&nbspBeta;0.00;0.00;0.75;0.86;0.57;1.01;0.62;0.74;0.63;0.85;0.76;0.43;0.56;0.41;0.29;0.07;0.41;0.28;0.49;0.54;0.44;0.17;0.24;0.19
&nbspValorização;-54%;-55%;92%;-20%;-53%;66%;-8%;4%;86%;77%;-70%;72%;12%;28%;-38%;36%;36%;-49%;24%;-7%;89%;63%;-8%;-3%
&nbspNegócios/dia;62;52;42;31;12;11;8;8;24;23;30;14;9;8;9;8;10;14;13;20;25;89;60;40
&nbspVolume diário;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
