Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.36;0.55;-7.18;2.33;0.29;0.34;0.46;-0.60;1.72;-0.18;0.93;-0.51;0.90;3.55;5.28;5.47
&nbspP/L;-69.98;79.46;-2.10;10.30;93.08;98.40;42.34;-37.65;15.62;-73.14;14.49;-25.73;24.20;9.00;5.49;4.39
&nbspVPA;30.98;31.53;24.13;26.02;31.98;30.89;30.16;28.45;26.35;22.32;21.87;21.72;21.69;21.81;22.00;21.53
&nbspP/VP;0.81;1.38;0.63;0.92;0.84;1.07;0.64;0.79;1.02;0.60;0.62;0.61;1.01;1.46;1.32;1.11
&nbspP/EBIT;10.96;18.57;-2.98;8.10;13.00;11.77;6.64;42.94;8.64;9.75;15.67;-36.95;23.96;21.66;11.67;8.25
&nbspP/EBITDA;0.00;16.11;-4.20;5.41;6.04;6.36;3.67;8.62;5.30;4.82;7.54;21.91;11.63;12.12;7.42;5.55
&nbspP/Ativos;0.42;0.72;0.29;0.48;0.47;0.59;0.38;0.48;0.60;0.37;0.39;0.39;0.69;0.81;0.65;0.54
&nbspEbitda;0;883;-1177;1455;1464;1701;1730;852;1657;910;586;197;614;863;1279;1416
&nbspMarg. Ebitda;0%;40%;-47%;55%;50%;58%;52%;22%;34%;31%;35%;13%;38%;55%;67%;70%
&nbspPSR;3.97;6.52;1.99;2.97;3.04;3.66;1.89;1.88;1.81;1.49;2.65;2.93;4.37;6.66;4.95;3.90
&nbspROE;-1%;2%;-30%;9%;1%;1%;2%;-2%;7%;-1%;4%;-2%;4%;16%;24%;25%
&nbspROA;-1%;1%;-14%;5%;1%;1%;1%;-1%;4%;-1%;3%;-2%;3%;9%;12%;12%
&nbspROIC;4%;4%;-10%;6%;4%;5%;6%;1%;8%;4%;3%;-1%;3%;4%;6%;7%
&nbspEV/EBIT;17.64;15.23;-7.18;11.34;15.59;11.09;10.41;52.19;7.21;18.52;28.60;-69.05;26.19;18.84;11.21;9.37
&nbspEV/EBITDA;0.00;13.21;-10.11;7.57;7.24;6.00;5.75;10.47;4.42;9.16;13.77;40.95;12.72;10.55;7.12;6.29
&nbspDiv. Yield;0,00%;0,00%;0,93%;1,25%;0,52%;1,63%;7,27%;6,33%;11,86%;36,19%;3,63%;3,64%;0,18%;2,79%;7,87%;10,85%
&nbspDiv. Payout;0%;0%;-3%;14%;115%;217%;331%;-236%;185%;-2.632%;59%;-92%;8%;26%;35%;34%
&nbspBeta;0.80;0.97;0.87;0.59;0.81;0.65;0.36;0.63;0.77;0.71;0.74;0.84;0.51;0.36;0.70;0.52
&nbspValorização;46%;73%;-67%;55%;11%;25%;-40%;18%;35%;-41%;6%;2%;67%;51%;-5%;-17%
&nbspNegócios/dia;487;931;1661;2089;2102;2467;3034;3273;4109;4228;5527;3915;2914;3657;8495;8482
&nbspVolume diário;22;46;65;28;20;23;27;20;29;25;21;24;24;30;67;61
