Unnamed: 0;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-9.76;5.42;9.01;8.76;20.28;26.79;35.80;3.70;4.31;3.08;4.86;1.99;3.08;5.17;5.03;5.65;7.08;4.93;10.15;10.33;8.69;9.60
&nbspP/L;-26.81;16.59;7.66;17.35;9.32;8.21;8.52;10.55;7.43;9.87;7.64;21.39;17.63;10.05;9.54;6.55;5.72;11.16;6.10;13.83;20.04;16.67
&nbspVPA;23.37;69.10;73.94;76.03;78.87;73.53;87.63;8.98;9.49;10.67;11.48;10.40;18.84;22.17;25.50;25.65;20.34;15.51;20.61;3.92;4.45;7.09
&nbspP/VP;11.20;1.30;0.93;2.00;2.40;2.99;3.48;4.34;3.37;2.85;3.23;4.09;2.88;2.35;1.88;1.44;1.99;3.55;3.00;36.48;39.10;22.58
&nbspP/EBIT;-34.47;11.85;3.29;7.92;5.37;4.93;5.16;6.18;4.56;5.71;4.57;10.70;9.67;5.81;5.57;3.92;3.27;6.26;4.43;8.71;11.52;11.20
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.37;3.76;7.09;6.76;4.44;4.08;3.00;2.63;4.71;3.74;7.54;9.67;9.32
&nbspP/Ativos;5.14;0.63;0.38;0.81;1.01;1.02;1.24;1.49;0.96;0.95;1.16;1.18;1.09;0.90;0.77;0.52;0.60;0.83;0.98;2.24;2.17;2.13
&nbspEbitda;0;0;0;0;0;0;0;0;0;833;1182;718;962;1404;1435;1530;1965;1518;2186;2513;2386;2274
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;21%;29%;17%;18%;22%;22%;23%;35%;27%;32%;26%;29%;27%
&nbspPSR;9.20;1.24;0.65;0.94;1.02;1.05;1.23;1.46;0.96;0.94;1.09;1.24;1.23;0.98;0.92;0.70;0.91;1.29;1.19;1.99;2.77;2.55
&nbspROE;-42%;8%;12%;12%;26%;36%;41%;41%;45%;29%;42%;19%;16%;23%;20%;22%;35%;32%;49%;264%;195%;135%
&nbspROA;-19%;4%;5%;5%;11%;12%;15%;14%;13%;10%;15%;6%;6%;9%;8%;8%;10%;7%;16%;16%;11%;13%
&nbspROIC;-16%;6%;14%;12%;22%;24%;28%;27%;25%;19%;30%;13%;13%;19%;18%;21%;30%;21%;27%;35%;25%;25%
&nbspEV/EBIT;-224.08;227.76;83.24;90.96;49.20;39.33;30.05;28.34;25.96;34.28;22.17;46.42;33.54;21.01;21.29;18.85;14.07;19.86;12.62;11.21;12.81;13.38
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.26;18.25;30.78;23.45;16.05;15.59;14.42;11.29;14.95;10.64;9.70;10.75;11.14
&nbspDiv. Yield;0,00%;0,96%;1,88%;1,43%;1,10%;11,27%;8,84%;60,72%;4,78%;5,49%;9,43%;2,94%;3,00%;1,77%;3,25%;13,89%;26,50%;17,49%;7,05%;10,39%;4,82%;5,31%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;72%;76%;186%;53%;0%;45%;88%;152%;175%;56%;147%;99%;90%
&nbspBeta;0.00;3.51;-0.36;-34.89;0.00;4.36;1.07;0.43;0.34;0.22;0.02;0.51;0.11;0.12;0.24;0.17;0.13;0.28;0.16;0.14;0.18;0.15
&nbspValorização;425%;-40%;-23%;77%;0%;16%;17%;35%;-15%;-4%;25%;18%;34%;-1%;-5%;-10%;50%;61%;15%;150%;27%;-2%
&nbspNegócios/dia;2;2;1;2;2;1;6;5;3;3;6;8;15;7;7;8;13;20;15;9;3;2
&nbspVolume diário;551;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
