Unnamed: 0;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;5.42;9.01;8.76;20.28;26.79;35.80;3.70;4.31;3.08;4.86;1.99;3.08;5.17;5.03;5.65;7.08;4.93;10.15;10.33;8.69;9.60
&nbspP/L;16.87;5.89;20.43;13.02;9.45;9.89;10.62;7.68;11.04;8.34;22.05;19.00;11.26;9.70;7.01;6.48;12.17;5.79;13.79;19.88;16.19
&nbspVPA;69.10;73.94;76.03;78.87;73.53;87.63;8.98;9.49;10.67;11.48;10.40;18.84;22.17;25.50;25.65;20.34;15.51;20.61;3.92;4.45;7.09
&nbspP/VP;1.32;0.72;2.35;3.35;3.44;4.04;4.37;3.49;3.19;3.53;4.21;3.11;2.63;1.91;1.54;2.26;3.87;2.85;36.38;38.79;21.93
&nbspP/EBIT;12.05;2.53;9.33;7.50;5.67;5.99;6.22;4.72;6.39;4.99;11.03;10.42;6.51;5.66;4.19;3.71;6.83;4.21;8.68;11.43;10.88
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.89;4.10;7.31;7.28;4.97;4.14;3.21;2.97;5.14;3.55;7.51;9.59;9.05
&nbspP/Ativos;0.64;0.29;0.96;1.41;1.18;1.44;1.50;0.99;1.06;1.26;1.22;1.17;1.01;0.78;0.55;0.67;0.90;0.93;2.23;2.16;2.07
&nbspEbitda;0;0;0;0;0;0;0;0;833;1182;718;962;1404;1435;1530;1965;1518;2186;2513;2386;2274
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;21%;29%;17%;18%;22%;22%;23%;35%;27%;32%;26%;29%;27%
&nbspPSR;1.26;0.50;1.10;1.42;1.21;1.43;1.46;0.99;1.05;1.18;1.28;1.33;1.10;0.93;0.74;1.03;1.41;1.13;1.98;2.75;2.48
&nbspROE;8%;12%;12%;26%;36%;41%;41%;45%;29%;42%;19%;16%;23%;20%;22%;35%;32%;49%;264%;195%;135%
&nbspROA;4%;5%;5%;11%;12%;15%;14%;13%;10%;15%;6%;6%;9%;8%;8%;10%;7%;16%;16%;11%;13%
&nbspROIC;6%;14%;12%;22%;24%;28%;27%;25%;19%;30%;13%;13%;19%;18%;21%;30%;21%;27%;35%;25%;25%
&nbspEV/EBIT;227.76;83.24;90.96;49.20;39.33;30.05;28.34;25.96;34.28;22.17;46.42;33.54;21.01;21.29;18.85;14.07;19.86;12.62;11.21;12.81;13.38
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;26.26;18.25;30.78;23.45;16.05;15.59;14.42;11.29;14.95;10.64;9.70;10.75;11.14
&nbspDiv. Yield;1,04%;2,69%;1,33%;0,87%;10,77%;8,38%;66,34%;5,08%;7,12%;9,51%;3,15%;3,08%;1,73%;3,52%;14,32%;25,75%;17,63%;8,15%;11,47%;5,34%;6,02%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;72%;76%;186%;53%;0%;45%;88%;152%;175%;56%;147%;99%;90%
&nbspBeta;0.56;1.01;0.78;0.95;1.01;0.70;0.56;0.33;0.32;0.11;0.29;0.06;0.23;0.24;0.28;0.20;0.49;0.44;0.25;0.56;0.27
&nbspValorização;-41%;-41%;242%;52%;4%;52%;16%;-18%;5%;26%;10%;44%;2%;-12%;-5%;60%;57%;6%;170%;27%;-9%
&nbspNegócios/dia;72;70;115;166;164;182;216;232;254;76;124;203;127;121;107;256;385;390;123;37;18
&nbspVolume diário;2;1;2;3;3;4;6;4;2;1;2;4;3;2;1;4;5;4;3;1;0
