Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;6.50;1.62;1.48;1.57;1.66;1.70;2.38;2.74;2.10;3.12;2.96;2.67;6.52;3.52;3.87
&nbspP/L;16.00;3.69;8.78;9.56;8.32;9.41;6.90;6.46;4.91;5.45;9.15;8.46;4.59;9.93;8.65
&nbspVPA;29.02;6.73;7.82;12.73;13.40;14.61;16.32;18.29;19.66;22.03;22.85;24.59;29.15;31.37;31.97
&nbspP/VP;3.58;0.89;1.66;1.18;1.03;1.10;1.01;0.97;0.52;0.77;1.19;0.92;1.03;1.12;1.05
&nbspP/EBIT;17.92;3.69;8.52;9.29;7.88;8.93;6.65;6.36;6.45;8.64;11.58;9.72;6.07;9.28;7.94
&nbspP/EBITDA;0.00;0.00;7.90;7.98;6.71;7.31;5.57;5.26;4.56;6.71;9.27;7.64;5.34;6.45;5.73
&nbspP/Ativos;2.53;0.65;1.22;0.82;0.70;0.76;0.69;0.66;0.38;0.55;0.83;0.65;0.70;0.79;0.75
&nbspEbitda;0;0;36;41;45;48;64;74;50;53;61;60;113;109;118
&nbspMarg. Ebitda;0%;0%;15%;16%;15%;15%;18%;18%;13%;14%;14%;13%;23%;24%;26%
&nbspPSR;2.32;0.59;1.21;1.25;1.03;1.10;1.00;0.93;0.58;0.91;1.33;0.99;1.25;1.57;1.51
&nbspROE;22%;24%;19%;12%;12%;12%;15%;15%;11%;14%;13%;11%;22%;11%;12%
&nbspROA;16%;18%;14%;9%;8%;8%;10%;10%;8%;10%;9%;8%;15%;8%;9%
&nbspROIC;17%;20%;16%;12%;12%;12%;15%;13%;8%;10%;10%;8%;14%;12%;13%
&nbspEV/EBIT;28.38;20.27;21.50;18.13;16.96;16.27;11.53;10.53;17.24;13.74;11.82;13.77;6.46;6.95;6.57
&nbspEV/EBITDA;0.00;0.00;19.92;15.56;14.42;13.31;9.67;8.72;12.19;10.67;9.46;10.82;5.68;4.84;4.74
&nbspDiv. Yield;1,52%;6,00%;3,38%;4,87%;7,03%;3,31%;3,16%;4,06%;8,25%;6,94%;4,75%;4,87%;4,35%;8,55%;7,58%
&nbspDiv. Payout;0%;0%;34%;38%;56%;27%;17%;22%;37%;23%;39%;48%;19%;42%;38%
&nbspBeta;0.19;0.29;0.56;0.70;0.32;0.18;0.03;0.24;0.51;0.45;0.42;0.21;0.44;0.41;0.18
&nbspValorização;197%;-70%;124%;15%;-6%;22%;5%;14%;-42%;81%;60%;-12%;33%;28%;-7%
&nbspNegócios/dia;3;3;4;2;4;4;9;6;5;6;11;9;9;12;11
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
