Unnamed: 0;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;24.39;27.59;23.98;14.96;25.91;4.41;2.99;4.00;6.50;1.62;1.48;1.57;1.66;1.70;2.38;2.74;2.10;3.12;2.96;2.67;6.52;3.52;3.87
&nbspP/L;2.03;2.65;3.50;4.34;5.40;4.26;6.03;9.26;13.69;3.69;8.93;10.20;8.24;9.41;7.34;6.30;4.31;5.31;9.64;8.83;4.54;9.93;8.91
&nbspVPA;130.82;149.43;167.87;182.04;199.48;22.30;22.65;24.69;29.02;6.73;7.82;12.73;13.40;14.61;16.32;18.29;19.66;22.03;22.85;24.59;29.15;31.37;31.97
&nbspP/VP;0.38;0.49;0.50;0.36;0.70;0.84;0.79;1.50;3.07;0.89;1.69;1.26;1.02;1.09;1.07;0.94;0.46;0.75;1.25;0.96;1.02;1.12;1.08
&nbspP/EBIT;2.48;2.89;4.38;5.21;10.81;5.57;24.10;11.24;15.34;3.69;8.66;9.91;7.81;8.92;7.07;6.19;5.67;8.41;12.20;10.15;6.01;9.28;8.18
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.02;8.51;6.64;7.30;5.93;5.13;4.01;6.53;9.76;7.97;5.29;6.46;5.90
&nbspP/Ativos;0.25;0.32;0.34;0.26;0.50;0.59;0.55;1.07;2.17;0.65;1.24;0.87;0.70;0.76;0.74;0.64;0.33;0.54;0.88;0.68;0.69;0.79;0.77
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;36;41;45;48;64;74;50;53;61;60;113;109;118
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;15%;16%;15%;15%;18%;18%;13%;14%;14%;13%;23%;24%;26%
&nbspPSR;0.21;0.26;0.26;0.21;0.42;0.52;0.55;1.02;1.99;0.59;1.23;1.33;1.02;1.09;1.07;0.90;0.51;0.88;1.40;1.03;1.24;1.57;1.55
&nbspROE;19%;18%;14%;8%;13%;20%;13%;16%;22%;24%;19%;12%;12%;12%;15%;15%;11%;14%;13%;11%;22%;11%;12%
&nbspROA;12%;12%;10%;6%;9%;14%;9%;12%;16%;18%;14%;9%;8%;8%;10%;10%;8%;10%;9%;8%;15%;8%;9%
&nbspROIC;12%;13%;9%;6%;5%;12%;3%;11%;17%;20%;16%;12%;12%;12%;15%;13%;8%;10%;10%;8%;14%;12%;13%
&nbspEV/EBIT;78.82;64.49;88.67;141.88;141.88;54.57;236.46;50.67;28.38;20.27;21.50;18.13;16.96;16.27;11.53;10.53;17.24;13.74;11.82;13.77;6.46;6.95;6.57
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.92;15.56;14.42;13.31;9.67;8.72;12.19;10.67;9.46;10.82;5.68;4.84;4.74
&nbspDiv. Yield;9,43%;11,42%;8,11%;2,35%;3,65%;17,00%;11,78%;4,46%;1,78%;6,00%;3,33%;4,56%;7,10%;3,31%;2,97%;4,17%;9,39%;7,13%;4,51%;4,66%;4,39%;8,54%;7,36%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;34%;38%;56%;27%;17%;22%;37%;23%;39%;48%;19%;42%;38%
&nbspBeta;0.00;-0.20;-0.56;0.09;-0.09;-0.23;0.21;0.23;0.04;0.30;0.34;0.26;0.47;0.16;0.24;0.27;0.17;0.30;0.37;0.46;0.42;0.61;0.46
&nbspValorização;61%;49%;17%;-15%;111%;27%;2%;106%;133%;-63%;101%;25%;-8%;23%;9%;4%;-43%;98%;72%;-10%;31%;24%;-4%
&nbspNegócios/dia;2;2;2;1;2;1;2;3;7;9;6;4;5;9;33;22;22;23;42;53;60;66;105
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
