Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.12;1.34;3.32;3.54;3.40;2.06;1.87;1.77;1.49;1.23;0.58;0.18;0.21
&nbspP/L;13.64;10.03;14.52;16.12;19.30;20.26;18.00;15.73;15.75;7.22;14.38;22.13;17.50
&nbspVPA;0.63;0.86;2.58;3.48;4.22;2.75;3.46;4.09;4.31;4.12;3.48;3.49;3.50
&nbspP/VP;24.34;15.57;18.67;16.40;15.55;15.15;9.69;6.82;5.46;2.16;2.40;1.15;1.04
&nbspP/EBIT;9.96;7.75;12.30;13.66;16.47;19.47;15.95;15.04;16.51;7.39;15.70;19.51;15.55
&nbspP/EBITDA;9.94;7.72;12.31;13.66;16.47;19.48;15.86;14.99;16.58;7.39;15.62;10.56;8.01
&nbspP/Ativos;7.16;5.01;5.35;4.42;4.45;3.92;2.72;2.61;0.71;0.29;0.24;0.12;0.12
&nbspEbitda;2106;2377;2138;2734;3133;3351;3985;4204;3853;3270;1455;1029;1234
&nbspMarg. Ebitda;61%;61%;53%;55%;55%;52%;57%;57%;56%;51%;27%;22%;27%
&nbspPSR;6.10;4.67;6.50;7.45;9.04;10.15;9.10;8.56;9.35;3.74;4.29;2.32;2.13
&nbspROE;178%;155%;129%;102%;81%;75%;54%;43%;35%;30%;17%;5%;6%
&nbspROA;52%;50%;37%;27%;23%;19%;15%;17%;5%;4%;2%;1%;1%
&nbspROIC;91%;72%;77%;53%;46%;37%;19%;34%;36%;26%;12%;4%;5%
&nbspEV/EBIT;4.59;4.20;4.71;4.09;3.65;3.78;5.51;2.48;1.78;2.80;6.73;22.60;15.50
&nbspEV/EBITDA;4.58;4.18;4.71;4.09;3.65;3.78;5.48;2.47;1.79;2.80;6.70;12.23;7.99
&nbspDiv. Yield;0,00%;8,25%;3,42%;4,16%;3,58%;4,58%;2,29%;2,01%;3,78%;16,09%;6,09%;1,75%;2,75%
&nbspDiv. Payout;78%;83%;77%;61%;63%;63%;38%;31%;48%;120%;95%;16%;29%
&nbspBeta;-0.22;0.75;0.37;0.32;0.36;0.50;0.75;0.73;0.54;0.52;1.03;1.07;0.82
&nbspValorização;6%;-8%;52%;47%;40%;31%;3%;6%;7%;-59%;-8%;-53%;-6%
&nbspNegócios/dia;3303;4789;5138;6571;6588;10269;14147;14661;15957;18574;24789;29580;23163
&nbspVolume diário;46;58;60;112;114;140;169;169;158;132;139;181;130
