Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;9.28;7.54;4.77;7.08;8.40;-6.71;5.19;13.30;3.40;-0.26;1.76;4.30;7.36;13.46;14.88
&nbspP/L;5.98;6.36;9.01;7.06;9.76;-5.51;7.71;3.01;8.83;-82.93;17.02;10.69;6.52;4.46;4.70
&nbspVPA;40.81;45.86;48.84;50.30;56.36;49.26;55.40;60.75;57.66;53.80;47.76;46.67;36.48;51.44;56.60
&nbspP/VP;1.36;1.05;0.88;0.99;1.45;0.75;0.72;0.66;0.52;0.40;0.63;0.99;1.32;1.17;1.24
&nbspP/EBIT;4.57;4.19;7.82;7.06;7.20;-2.86;10.57;1.96;12.05;8.82;3.78;4.48;3.72;3.39;3.60
&nbspP/EBITDA;3.66;3.18;4.76;4.49;5.32;-4.28;4.36;1.53;3.24;-5.85;2.21;2.91;2.55;2.51;2.72
&nbspP/Ativos;0.51;0.42;0.38;0.39;0.59;0.27;0.27;0.25;0.14;0.10;0.13;0.18;0.19;0.22;0.26
&nbspEbitda;585;582;349;430;595;-333;354;1005;357;-142;523;611;725;923;994
&nbspMarg. Ebitda;18%;17%;10%;11%;14%;-7%;7%;16%;5%;-2%;7%;8%;9%;10%;11%
&nbspPSR;0.68;0.53;0.45;0.48;0.75;0.31;0.32;0.25;0.17;0.14;0.16;0.23;0.23;0.26;0.29
&nbspROE;23%;16%;10%;14%;15%;-14%;9%;22%;6%;0%;4%;9%;20%;26%;26%
&nbspROA;8%;7%;4%;5%;6%;-5%;4%;8%;2%;0%;1%;2%;3%;5%;5%
&nbspROIC;12%;11%;5%;6%;10%;-11%;3%;16%;2%;1%;4%;5%;6%;8%;9%
&nbspEV/EBIT;6.07;6.48;13.49;9.89;5.89;-5.70;18.42;3.92;30.12;27.04;8.46;8.57;7.58;5.08;4.81
&nbspEV/EBITDA;4.85;4.92;8.20;6.28;4.35;-8.53;7.59;3.07;8.11;-17.92;4.95;5.56;5.20;3.76;3.64
&nbspDiv. Yield;3,14%;1,46%;4,19%;5,60%;0,00%;0,65%;3,00%;0,45%;11,93%;4,65%;0,00%;1,00%;1,31%;3,17%;2,71%
&nbspDiv. Payout;27%;31%;37%;15%;18%;-29%;0%;10%;111%;-280%;1%;9%;13%;13%;12%
&nbspBeta;-0.19;-0.37;0.06;0.10;-1.94;-4.87;0.47;-10.63;-1.88;0.67;0.25;-0.08;0.29;-0.03;-0.20
&nbspValorização;54%;30%;1%;9%;66%;-58%;8%;34%;-14%;-23%;37%;28%;-11%;25%;18%
&nbspNegócios/dia;2;3;2;2;1;3;2;10;2;2;2;5;0;7;6
&nbspVolume diário;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0
