Unnamed: 0;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.31;-6.24;7.39;8.53;12.36;10.65;4.74;4.79;3.51;3.31;3.54;5.01;2.47;2.49;1.96;0.27;0.80;1.19;2.14;1.89;2.20
&nbspP/L;9.97;-4.24;7.14;7.61;7.69;9.85;6.85;6.63;9.01;8.06;9.39;4.51;5.68;5.27;3.12;28.89;8.63;11.61;6.43;7.71;5.57
&nbspVPA;43.52;35.22;40.63;44.87;44.45;47.01;17.91;19.54;16.58;16.82;17.22;14.13;10.04;8.97;10.32;10.27;11.38;10.93;10.89;11.51;11.79
&nbspP/VP;0.76;0.75;1.30;1.45;2.14;2.23;1.81;1.63;1.91;1.59;1.93;1.60;1.39;1.47;0.59;0.75;0.60;1.27;1.27;1.27;1.04
&nbspP/EBIT;6.19;-7.84;7.33;5.99;8.36;7.39;4.81;4.66;5.93;4.99;5.14;4.72;4.04;2.96;1.88;5.37;3.27;8.10;6.47;4.70;3.24
&nbspP/EBITDA;0.00;0.00;0.00;0.00;6.32;5.72;3.89;3.84;4.85;3.95;4.17;3.79;3.40;2.59;1.56;10.00;2.48;6.04;4.95;3.88;2.77
&nbspP/Ativos;0.40;0.31;0.57;0.63;0.78;0.73;0.65;0.65;0.68;0.54;0.61;0.47;0.59;0.47;0.19;0.23;0.20;0.34;0.40;0.41;0.35
&nbspEbitda;0;0;0;0;2436;2975;4062;4100;4038;4614;5437;5083;5186;6381;4931;971;3492;3345;4068;5695;6732
&nbspMarg. Ebitda;0%;0%;0%;0%;30%;31%;40%;38%;35%;36%;35%;28%;35%;33%;23%;5%;16%;15%;16%;23%;26%
&nbspPSR;1.14;0.84;1.52;1.47;1.87;1.76;1.54;1.45;1.67;1.42;1.46;1.04;1.21;0.85;0.36;0.52;0.40;0.91;0.79;0.88;0.71
&nbspROE;8%;-18%;18%;19%;28%;23%;26%;25%;21%;20%;21%;35%;25%;28%;19%;3%;7%;11%;20%;16%;19%
&nbspROA;4%;-7%;8%;8%;10%;7%;10%;10%;8%;7%;6%;10%;10%;9%;6%;1%;2%;3%;6%;5%;6%
&nbspROIC;7%;-4%;8%;11%;10%;10%;14%;14%;12%;13%;13%;12%;17%;18%;12%;5%;7%;4%;7%;10%;13%
&nbspEV/EBIT;28.30;-45.66;21.83;14.70;14.40;12.70;8.90;8.55;9.95;8.64;7.74;8.26;6.40;5.95;8.15;19.25;12.83;13.93;11.28;6.71;5.27
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;10.89;9.83;7.20;7.06;8.14;6.83;6.28;6.63;5.38;5.21;6.77;35.80;9.71;10.39;8.63;5.54;4.50
&nbspDiv. Yield;1,97%;7,79%;2,94%;1,63%;1,45%;5,71%;0,00%;5,60%;12,03%;10,56%;5,29%;17,12%;3,93%;25,04%;9,95%;8,30%;3,49%;4,62%;5,22%;4,19%;10,02%
&nbspDiv. Payout;0%;0%;0%;0%;29%;120%;59%;36%;43%;81%;84%;41%;148%;125%;32%;201%;55%;29%;22%;21%;18%
&nbspBeta;0.80;1.15;1.16;1.22;1.04;0.99;0.81;0.60;0.43;0.45;0.51;0.39;0.72;0.93;0.92;1.49;1.68;1.25;0.97;1.03;0.90
&nbspValorização;20%;-16%;104%;24%;53%;17%;-8%;5%;25%;0%;25%;0%;-7%;14%;-51%;46%;-10%;114%;2%;8%;-11%
&nbspNegócios/dia;281;343;479;587;582;801;1415;2760;3791;3344;4156;6857;9155;11781;11429;13966;13610;18444;22170;26128;20639
&nbspVolume diário;11;13;20;27;30;39;57;62;49;42;43;81;75;72;45;54;70;110;137;129;127
