Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.19;0.51;0.56;0.77;0.57;0.63;0.27;1.27;1.97;3.24;4.47;4.34;6.08;6.08;5.41;2.04;3.24;4.68;5.05;5.63;4.71;5.21;3.43;3.46
&nbspP/L;16.11;10.15;10.92;5.97;5.31;6.74;15.27;5.61;5.83;6.64;5.03;7.11;4.65;5.67;8.32;20.57;12.22;7.70;9.90;9.73;10.18;11.97;17.50;17.08
&nbspVPA;2.86;7.94;7.86;7.73;7.51;7.30;7.36;4.71;5.01;10.92;11.78;13.33;17.42;18.89;20.04;20.11;22.03;25.75;29.71;33.16;36.76;40.00;41.49;42.48
&nbspP/VP;1.05;0.65;0.78;0.60;0.40;0.58;0.56;1.51;2.29;1.97;1.91;2.31;1.62;1.82;2.25;2.09;1.80;1.40;1.68;1.65;1.31;1.56;1.45;1.39
&nbspP/EBIT;19.46;8.18;8.88;4.09;2.90;4.08;6.90;4.61;4.20;4.59;3.86;5.36;3.32;4.31;6.45;13.08;5.96;5.55;6.96;6.89;7.20;8.62;11.86;11.96
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.73;3.55;5.33;8.14;4.39;4.24;0.00;5.28;5.04;5.82;5.66;5.49
&nbspP/Ativos;0.49;0.45;0.50;0.31;0.19;0.27;0.27;0.46;0.71;0.65;0.63;0.83;0.72;0.80;0.98;0.97;0.76;0.61;0.79;0.75;0.58;0.56;0.50;0.47
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;0;0;807;755;657;402;702;661;0;808;741;835;825;837
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;28%;29%;23%;14%;19%;16%;0%;18%;15%;16%;14%;14%
&nbspPSR;0.93;1.39;1.36;0.80;0.51;0.64;0.48;0.70;1.05;0.98;0.91;1.12;0.77;1.02;1.21;1.15;0.85;0.68;0.95;0.93;0.73;0.90;0.80;0.77
&nbspROE;7%;6%;7%;10%;8%;9%;4%;27%;39%;30%;38%;33%;35%;32%;27%;10%;15%;18%;17%;17%;13%;13%;8%;8%
&nbspROA;3%;4%;5%;5%;4%;4%;2%;8%;12%;10%;13%;12%;15%;14%;12%;5%;6%;8%;8%;8%;6%;5%;3%;3%
&nbspROIC;3%;6%;6%;8%;7%;7%;4%;11%;18%;16%;17%;16%;24%;22%;17%;9%;15%;13%;13%;13%;9%;7%;5%;5%
&nbspEV/EBIT;199.99;49.06;45.56;29.15;33.88;33.04;57.03;22.00;12.14;14.31;12.08;12.38;8.15;8.73;9.95;21.91;11.10;11.67;9.97;9.24;12.31;11.84;17.50;18.88
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.69;7.19;8.22;13.63;8.18;8.92;0.00;7.08;8.62;8.00;8.35;8.66
&nbspDiv. Yield;0,00%;0,00%;0,00%;8,48%;16,00%;19,81%;5,34%;8,59%;4,72%;0,00%;13,97%;10,96%;9,70%;12,39%;7,89%;6,55%;2,50%;1,50%;1,86%;3,63%;2,27%;0,00%;3,53%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;45%;70%;65%;134%;30%;11%;18%;35%;23%;36%;34%;48%
&nbspBeta;0.00;0.00;0.42;0.18;0.34;-0.01;0.32;0.50;0.28;0.34;0.44;0.17;0.26;0.37;0.19;0.36;0.28;0.46;0.31;0.31;0.35;0.09;0.32;0.29
&nbspValorização;-33%;71%;21%;-26%;126%;492%;-2%;91%;67%;-8%;22%;61%;-2%;40%;41%;-1%;-3%;0%;44%;17%;-9%;32%;0%;-3%
&nbspNegócios/dia;12;10;17;8;12;18;36;22;39;83;51;105;126;213;209;231;129;80;68;43;52;65;151;122
&nbspVolume diário;1;0;1;0;0;0;0;0;1;2;1;2;2;2;3;3;2;1;1;1;1;2;2;1
