Unnamed: 0;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.52;1.93;0.62;0.87;1.15;1.15;0.85;0.15;-3.09;-3.12
&nbspP/L;30.46;20.37;25.12;11.00;11.62;16.03;10.48;77.34;-1.50;-1.44
&nbspVPA;16.72;9.74;7.05;7.72;8.52;9.27;9.73;9.63;7.61;7.57
&nbspP/VP;2.77;4.03;2.20;1.24;1.57;1.98;0.91;1.19;0.61;0.59
&nbspP/EBIT;25.47;18.87;24.18;10.28;12.00;17.81;11.71;18.46;-2.69;-2.52
&nbspP/EBITDA;18.89;15.82;19.50;8.21;9.82;14.30;8.47;11.99;-3.59;-3.37
&nbspP/Ativos;1.64;2.59;1.63;0.92;1.23;1.62;0.48;0.55;0.28;0.28
&nbspEbitda;329;667;1291;1875;2208;2111;1722;1568;-2421;-2503
&nbspMarg. Ebitda;23%;33%;34%;36%;42%;38%;28%;22%;-46%;-53%
&nbspPSR;4.42;5.24;6.67;2.92;4.13;5.43;2.41;2.67;1.65;1.78
&nbspROE;9%;20%;9%;11%;13%;12%;9%;2%;-41%;-41%
&nbspROA;5%;13%;6%;8%;11%;10%;5%;1%;-19%;-20%
&nbspROIC;7%;16%;7%;9%;11%;10%;5%;3%;-13%;-13%
&nbspEV/EBIT;36.70;15.64;8.75;5.99;4.32;4.24;11.01;19.54;-4.54;-4.38
&nbspEV/EBITDA;27.21;13.11;7.06;4.79;3.54;3.41;7.97;12.69;-6.07;-5.86
&nbspDiv. Yield;0,00%;1,48%;13,81%;1,68%;2,03%;2,34%;4,40%;0,52%;0,00%;0,00%
&nbspDiv. Payout;0%;30%;63%;19%;30%;37%;46%;81%;0%;0%
&nbspBeta;1.90;0.28;0.72;1.26;0.95;0.96;1.07;1.18;1.32;1.27
&nbspValorização;104%;76%;63%;-35%;45%;42%;-50%;24%;-62%;-4%
&nbspNegócios/dia;700;5619;10985;22440;20256;18914;20434;18977;44259;27422
&nbspVolume diário;14;66;137;169;129;143;126;143;359;202
