Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.74;2.28;3.00;3.44;2.68;2.72;3.25;1.65;1.31;0.99;0.92;0.88;0.87;1.22;2.13;2.39;3.22;3.27
&nbspP/L;24.21;12.27;10.00;9.79;11.25;13.01;12.69;15.80;16.36;19.36;20.04;17.21;29.13;15.83;13.55;14.90;10.11;8.31
&nbspVPA;9.37;10.00;10.15;10.51;10.64;10.77;14.03;8.89;8.74;9.14;9.75;10.20;10.19;10.99;12.31;11.53;12.35;13.17
&nbspP/VP;1.92;2.80;2.96;3.20;2.83;3.28;2.94;2.93;2.45;2.09;1.90;1.49;2.47;1.76;2.34;3.08;2.63;2.06
&nbspP/EBIT;6.42;7.63;5.85;5.40;6.19;7.70;7.23;8.20;7.43;7.38;6.84;6.11;9.05;5.91;7.26;8.69;7.33;5.81
&nbspP/EBITDA;0.00;6.14;4.90;4.75;4.99;6.10;5.78;6.50;5.28;5.18;4.73;4.02;6.22;4.05;5.21;6.41;5.53;4.44
&nbspP/Ativos;0.64;0.97;1.02;1.04;0.89;1.00;0.99;0.91;0.66;0.59;0.51;0.37;0.61;0.48;0.70;0.93;0.76;0.60
&nbspEbitda;0;2188;2935;3399;2901;2776;3430;3852;3898;3546;3760;3749;4125;4863;5637;6394;6779;7049
&nbspMarg. Ebitda;0%;28%;33%;36%;30%;26%;29%;30%;26%;24%;22%;19%;22%;18%;20%;21%;22%;22%
&nbspPSR;1.20;1.74;1.61;1.72;1.49;1.60;1.65;1.96;1.37;1.26;1.03;0.75;1.34;0.74;1.04;1.37;1.21;0.98
&nbspROE;8%;23%;30%;33%;25%;25%;23%;19%;15%;11%;9%;9%;8%;11%;17%;21%;26%;25%
&nbspROA;3%;8%;10%;11%;8%;8%;8%;6%;4%;3%;3%;2%;2%;3%;5%;6%;8%;7%
&nbspROIC;11%;13%;19%;20%;15%;14%;16%;13%;10%;10%;9%;8%;9%;10%;11%;12%;13%;12%
&nbspEV/EBIT;29.74;21.32;15.32;12.97;17.00;18.26;14.73;14.22;17.03;18.21;18.21;19.68;17.08;14.84;12.62;10.33;8.92;8.44
&nbspEV/EBITDA;0.00;17.15;12.85;11.42;13.69;14.48;11.76;11.27;12.11;12.79;12.59;12.96;11.74;10.17;9.05;7.61;6.73;6.45
&nbspDiv. Yield;0,00%;4,25%;7,73%;9,68%;9,12%;6,94%;7,21%;6,88%;6,82%;4,45%;5,57%;0,00%;0,83%;1,14%;0,97%;0,00%;5,53%;12,15%
&nbspDiv. Payout;0%;51%;76%;94%;103%;90%;92%;78%;112%;88%;114%;1%;26%;27%;15%;19%;57%;56%
&nbspBeta;0.28;0.48;0.62;0.76;0.63;0.44;0.36;0.43;0.34;0.66;1.03;0.96;0.62;0.17;0.31;0.37;0.74;0.78
&nbspValorização;4%;66%;19%;23%;-2%;23%;22%;32%;-12%;-10%;5%;-14%;77%;-23%;50%;23%;-2%;-9%
&nbspNegócios/dia;132;100;347;746;924;1386;1410;2049;3094;4219;5555;5998;7053;3235;1645;5326;12129;10518
&nbspVolume diário;7;4;9;20;17;18;17;14;18;21;23;24;39;36;11;60;98;69
