Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.17;0.62;1.45;1.90;4.59;4.16;4.01;3.84;3.69;4.30;2.66;4.03;4.88;4.63;3.47;4.09;5.28;7.54;14.29;1.53
&nbspP/L;-8.55;21.89;8.00;9.47;5.44;6.44;5.99;9.65;11.23;9.05;11.90;7.58;7.36;5.25;7.89;6.10;5.79;9.16;5.24;3.86
&nbspVPA;17.27;17.75;18.93;20.57;24.29;27.29;30.30;33.19;41.27;44.10;45.67;47.24;50.00;53.29;55.38;56.75;59.70;64.31;74.00;7.14
&nbspP/VP;0.58;0.77;0.61;0.87;1.03;0.98;0.79;1.12;1.01;0.88;0.69;0.65;0.72;0.46;0.49;0.44;0.51;1.07;1.01;0.83
&nbspP/EBIT;47.18;35.11;5.32;6.18;4.35;4.65;4.50;7.44;10.99;7.83;8.66;6.81;5.75;3.48;3.66;3.18;3.49;5.92;4.82;3.65
&nbspP/EBITDA;0.00;0.00;0.00;4.36;3.50;3.65;3.52;5.78;7.21;5.57;5.60;4.57;4.20;2.57;5.61;2.37;2.66;4.41;3.90;2.86
&nbspP/Ativos;0.32;0.41;0.32;0.45;0.57;0.59;0.50;0.73;0.64;0.56;0.41;0.36;0.38;0.23;0.25;0.21;0.23;0.49;0.44;0.34
&nbspEbitda;0;0;0;1129;1952;2008;1865;1753;1575;1912;1550;1829;2340;2585;1336;2879;3143;4285;5263;5670
&nbspMarg. Ebitda;0%;0%;0%;23%;36%;37%;34%;31%;23%;25%;18%;20%;17%;18%;10%;21%;21%;26%;28%;29%
&nbspPSR;1.03;1.24;0.81;1.01;1.27;1.35;1.20;1.80;1.65;1.37;1.02;0.91;0.71;0.45;0.57;0.49;0.56;1.16;1.10;0.83
&nbspROE;-7%;3%;8%;9%;19%;15%;13%;12%;9%;10%;6%;9%;10%;9%;6%;7%;9%;12%;19%;21%
&nbspROA;-4%;2%;4%;5%;11%;9%;8%;8%;6%;6%;3%;5%;5%;4%;3%;3%;4%;5%;8%;9%
&nbspROIC;1%;1%;7%;8%;14%;13%;11%;10%;7%;8%;6%;6%;7%;8%;7%;7%;7%;9%;10%;10%
&nbspEV/EBIT;329.29;177.77;31.35;23.78;12.38;12.03;12.83;13.63;15.95;12.82;17.95;15.72;12.71;11.92;11.96;11.92;11.02;8.00;5.55;5.25
&nbspEV/EBITDA;0.00;0.00;0.00;16.76;9.98;9.46;10.05;10.59;10.46;9.11;11.60;10.54;9.29;8.80;18.29;8.90;8.39;5.95;4.49;4.10
&nbspDiv. Yield;3,50%;0,00%;1,38%;2,06%;1,88%;4,03%;4,29%;4,45%;1,54%;4,16%;2,37%;7,47%;6,60%;3,83%;4,57%;11,86%;3,80%;2,33%;4,14%;52,36%
&nbspDiv. Payout;0%;0%;0%;19%;9%;26%;25%;39%;20%;34%;31%;54%;50%;24%;39%;45%;21%;18%;16%;15%
&nbspBeta;1.14;1.31;1.22;1.08;0.95;0.80;0.77;0.49;0.40;0.53;0.44;0.80;0.92;0.93;1.33;1.27;0.99;0.77;0.97;0.99
&nbspValorização;-42%;37%;-13%;62%;37%;10%;-7%;53%;10%;-3%;-16%;2%;28%;-27%;24%;-2%;32%;130%;14%;-20%
&nbspNegócios/dia;227;432;461;457;649;848;1190;1733;1945;2316;2604;2664;3376;3609;3779;3792;4175;4508;7132;14877
&nbspVolume diário;6;9;9;12;18;24;22;18;23;26;23;19;20;21;19;21;21;43;86;78
