Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.13;0.85;0.37;0.98;0.31;-0.45;-0.17;-0.74;-0.70;-1.03;-0.10;-0.43;-3.72;-5.78;-6.61
&nbspP/L;-113.03;3.90;16.85;7.64;18.93;-10.33;-23.01;-3.57;-1.92;-1.36;-14.34;-46.02;-9.53;-4.79;-3.76
&nbspVPA;8.39;8.56;9.13;9.34;9.10;8.53;8.07;7.08;5.24;4.19;4.07;3.45;64.82;44.18;43.35
&nbspP/VP;1.75;0.39;0.68;0.80;0.64;0.55;0.47;0.37;0.26;0.33;0.36;5.79;0.55;0.63;0.57
&nbspP/EBIT;-21.88;6.34;13.64;5.37;10.92;-20.65;-46.02;-5.35;-2.11;-1.99;-8.96;-53.69;-14.29;-4.79;-4.01
&nbspP/EBITDA;-22.09;6.33;14.38;5.28;9.41;-24.55;-94.64;-5.82;-2.32;-2.04;-9.72;-52.85;-13.92;-4.59;-3.80
&nbspP/Ativos;1.59;0.27;0.38;0.42;0.36;0.34;0.32;0.30;0.23;0.29;0.32;5.17;0.50;0.55;0.51
&nbspEbitda;-31;24;20;65;30;-9;-2;-22;-28;-33;-7;-18;-6;-15;-16
&nbspMarg. Ebitda;-79%;11%;7%;15%;15%;-6%;-2%;-116%;-97%;-195%;-67%;-366%;-19%;-730%;-792%
&nbspPSR;17.39;0.67;0.96;0.79;1.46;1.45;1.69;6.76;2.26;3.99;6.52;193.29;2.60;33.54;30.09
&nbspROE;-2%;10%;4%;10%;3%;-5%;-2%;-10%;-13%;-25%;-3%;-13%;-6%;-13%;-15%
&nbspROA;-1%;7%;2%;6%;2%;-3%;-1%;-9%;-12%;-22%;-2%;-11%;-5%;-12%;-14%
&nbspROIC;-7%;4%;3%;9%;4%;-2%;-1%;-6%;-12%;-16%;-4%;-12%;-5%;-14%;-15%
&nbspEV/EBIT;-2.72;4.80;11.39;3.47;10.31;-20.93;-32.05;-2.76;-1.36;-1.27;-4.52;-1.79;0.14;-3.08;-2.88
&nbspEV/EBITDA;-2.74;4.79;12.00;3.41;8.89;-24.87;-65.91;-3.00;-1.50;-1.30;-4.91;-1.76;0.13;-2.96;-2.73
&nbspDiv. Yield;0,07%;13,33%;0,00%;6,31%;8,53%;0,85%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;47%;160%;0%;0%;-8%;-18%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.08;0.42;0.69;0.86;0.52;0.07;0.28;0.05;0.55;0.23;0.35;0.37;-0.22;0.72;0.42
&nbspValorização;-23%;-76%;85%;28%;-17%;-19%;-19%;-26%;-47%;0%;4%;-31%;77%;-15%;-10%
&nbspNegócios/dia;33;13;27;45;32;9;8;6;10;17;19;17;4;8;6
&nbspVolume diário;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
