Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.86;0.94;0.67;1.43;1.70
&nbspP/L;17.64;19.26;34.90;13.53;12.45
&nbspVPA;6.63;7.08;7.41;8.59;9.07
&nbspP/VP;2.30;2.55;3.15;2.26;2.33
&nbspP/EBIT;9.73;11.51;16.66;8.55;8.44
&nbspP/EBITDA;7.98;9.22;12.03;6.88;6.90
&nbspP/Ativos;0.89;0.98;1.03;0.74;0.83
&nbspEbitda;3785;3891;3852;5596;6086
&nbspMarg. Ebitda;8%;7%;6%;8%;8%
&nbspPSR;0.60;0.66;0.77;0.54;0.57
&nbspROE;13%;13%;9%;17%;19%
&nbspROA;5%;5%;3%;5%;7%
&nbspROIC;16%;15%;10%;14%;12%
&nbspEV/EBIT;13.08;12.81;15.04;9.56;10.25
&nbspEV/EBITDA;10.73;10.26;10.86;7.69;8.37
&nbspDiv. Yield;0,00%;1,93%;0,21%;1,29%;3,36%
&nbspDiv. Payout;12%;40%;49%;20%;17%
&nbspBeta;0.70;0.56;0.79;0.49;0.64
&nbspValorização;2%;19%;23%;-18%;13%
&nbspNegócios/dia;6642;6378;8423;16764;14734
&nbspVolume diário;63;42;58;114;95
