Unnamed: 0;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.86;3.62;3.49;6.76;3.79;6.41;8.20
&nbspP/L;-4.39;1.71;4.47;4.91;6.58;5.38;11.22
&nbspVPA;14.69;18.14;19.38;21.93;19.88;25.05;27.33
&nbspP/VP;0.26;0.34;0.80;1.52;1.26;1.38;3.37
&nbspP/EBIT;-14.62;3.00;3.77;4.98;6.71;7.47;13.76
&nbspP/EBITDA;139.51;16.60;3.99;5.35;7.52;6.42;11.83
&nbspP/Ativos;0.16;0.22;0.58;1.15;0.92;0.94;2.43
&nbspEbitda;1;9;91;144;96;156;226
&nbspMarg. Ebitda;0%;2%;16%;23%;16%;21%;28%
&nbspPSR;0.21;0.30;0.64;1.21;1.23;1.37;3.27
&nbspROE;-6%;20%;18%;31%;19%;26%;30%
&nbspROA;-4%;13%;13%;23%;14%;17%;22%
&nbspROIC;-1%;9%;18%;26%;19%;21%;28%
&nbspEV/EBIT;-430.13;52.18;25.63;16.01;21.69;16.01;11.40
&nbspEV/EBITDA;4103.00;288.97;27.09;17.21;24.33;13.77;9.79
&nbspDiv. Yield;0,00%;0,00%;1,99%;14,29%;3,04%;0,41%;1,61%
&nbspDiv. Payout;0%;6%;10%;69%;15%;2%;9%
&nbspBeta;0.11;-0.59;0.46;-0.04;0.35;0.38;0.32
&nbspValorização;0%;107%;173%;157%;-5%;39%;167%
&nbspNegócios/dia;2;11;8;10;10;15;16
&nbspVolume diário;0;0;0;0;0;0;0
