Unnamed: 0;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.99;1.07;0.45;-1.37;1.65;2.02;7.34;2.23;1.59;1.58;2.38;3.42;3.70;4.67;6.30;2.31;0.95
&nbspP/L;-68.77;41.59;46.09;-8.23;15.52;13.69;3.68;18.76;24.96;18.21;10.58;11.16;11.20;7.17;11.04;32.81;25.07
&nbspVPA;21.73;8.32;12.29;11.39;12.22;15.55;23.22;33.24;33.39;30.67;30.88;26.50;25.24;26.78;28.06;29.18;13.72
&nbspP/VP;3.14;5.37;1.69;0.99;2.10;1.78;1.16;1.26;1.19;0.94;0.82;1.44;1.64;1.25;2.48;2.59;1.74
&nbspP/EBIT;47.91;14.89;-14.07;-183.89;17.87;9.05;2.29;12.86;9.28;7.90;5.04;5.56;5.91;4.96;7.62;12.29;13.68
&nbspP/EBITDA;14.39;9.44;21.68;6.13;9.09;5.42;1.90;6.44;6.12;6.76;3.95;4.56;4.89;4.11;6.58;9.79;10.22
&nbspP/Ativos;1.27;1.36;0.78;0.33;0.78;0.62;0.48;0.49;0.56;0.43;0.34;0.57;0.59;0.47;0.83;0.83;0.49
&nbspEbitda;296;895;261;600;1144;2068;5780;2627;2617;1733;2591;3409;3463;3323;4170;3050;3685
&nbspMarg. Ebitda;17%;24%;10%;13%;10%;12%;25%;10%;17%;21%;31%;45%;45%;32%;31%;23%;25%
&nbspPSR;2.46;2.30;2.20;0.77;0.95;0.63;0.48;0.62;1.04;1.44;1.21;2.06;2.21;1.33;2.02;2.21;2.56
&nbspROE;-5%;13%;4%;-12%;13%;13%;32%;7%;5%;5%;8%;13%;15%;17%;22%;8%;7%
&nbspROA;-2%;3%;2%;-4%;5%;5%;13%;3%;2%;2%;3%;5%;5%;7%;8%;3%;2%
&nbspROIC;3%;9%;-6%;0%;5%;7%;23%;4%;7%;6%;8%;13%;12%;11%;14%;8%;4%
&nbspEV/EBIT;139.15;25.65;-34.41;-796.55;29.71;15.03;3.24;15.88;10.94;11.74;8.95;5.97;6.30;6.83;5.24;9.24;15.64
&nbspEV/EBITDA;41.79;16.25;53.04;26.53;15.11;9.01;2.68;7.95;7.22;10.04;7.01;4.90;5.22;5.66;4.53;7.36;11.68
&nbspDiv. Yield;0,00%;0,00%;1,92%;0,00%;0,00%;1,77%;1,81%;1,49%;1,87%;2,56%;2,70%;5,64%;2,24%;3,32%;1,44%;1,98%;4,31%
&nbspDiv. Payout;0%;0%;61%;-17%;0%;23%;6%;63%;20%;84%;67%;136%;82%;55%;38%;84%;51%
&nbspBeta;1.40;1.17;1.12;0.88;0.96;0.82;0.84;0.54;0.46;0.86;0.93;0.73;0.89;0.82;1.04;1.02;1.04
&nbspValorização;23%;97%;-55%;-46%;127%;10%;0%;60%;-5%;-23%;-7%;71%;15%;-19%;99%;8%;22%
&nbspNegócios/dia;742;729;1294;1083;1785;2366;3255;4120;4183;5327;5572;5277;5788;7595;9074;11113;17341
&nbspVolume diário;34;33;37;25;20;31;29;37;51;49;33;36;46;57;79;142;252
