Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.32;4.50;5.82;4.05;4.04;3.52;2.67;-0.09;3.44;4.43;4.58;5.97;2.15;2.31
&nbspP/L;8.09;7.39;4.93;8.24;10.82;10.58;9.45;-168.65;10.61;9.79;13.45;11.38;7.62;6.83
&nbspVPA;29.83;32.75;36.62;39.44;41.69;44.59;46.26;47.17;46.99;49.26;49.12;53.20;16.98;17.39
&nbspP/VP;0.63;1.02;0.78;0.85;1.05;0.83;0.54;0.33;0.78;0.88;1.25;1.28;0.97;0.91
&nbspP/EBIT;6.74;5.88;3.48;5.22;6.85;6.12;4.86;5.89;5.77;5.74;8.45;7.45;4.87;4.55
&nbspP/EBITDA;3.82;4.24;2.60;3.65;4.58;3.85;2.72;2.15;3.30;3.62;5.23;4.90;3.24;3.04
&nbspP/Ativos;0.34;0.55;0.45;0.46;0.58;0.47;0.30;0.17;0.42;0.51;0.70;0.75;0.53;0.51
&nbspEbitda;568;905;1272;1052;1143;1157;1108;865;1396;1521;1491;1758;1927;1972
&nbspMarg. Ebitda;20%;28%;39%;33%;32%;31%;27%;23%;35%;35%;31%;34%;36%;36%
&nbspPSR;0.78;1.17;1.02;1.19;1.49;1.19;0.73;0.48;1.14;1.27;1.65;1.67;1.17;1.10
&nbspROE;8%;14%;16%;10%;10%;8%;6%;0%;7%;9%;9%;11%;13%;13%
&nbspROA;4%;7%;9%;6%;5%;4%;3%;0%;4%;5%;5%;7%;7%;7%
&nbspROIC;6%;10%;13%;9%;9%;8%;6%;3%;8%;9%;9%;11%;12%;12%
&nbspEV/EBIT;21.59;11.90;8.56;11.78;11.34;12.38;14.85;28.93;11.13;9.21;10.11;7.68;7.09;6.64
&nbspEV/EBITDA;12.23;8.57;6.40;8.25;7.58;7.78;8.31;10.54;6.37;5.80;6.26;5.05;4.71;4.44
&nbspDiv. Yield;1,28%;4,12%;6,41%;4,94%;2,79%;3,44%;4,49%;0,58%;1,18%;4,82%;6,55%;1,32%;45,79%;42,13%
&nbspDiv. Payout;30%;44%;31%;41%;29%;37%;41%;-27%;13%;51%;76%;18%;128%;119%
&nbspBeta;0.59;0.38;0.41;0.55;0.20;0.44;0.36;0.74;0.72;0.73;0.83;0.75;0.75;0.72
&nbspValorização;-36%;86%;-7%;19%;33%;-15%;-29%;-37%;154%;24%;53%;8%;-15%;-3%
&nbspNegócios/dia;182;282;564;1152;1570;1609;1410;1192;1368;2977;2792;3317;5402;8650
&nbspVolume diário;6;5;7;7;13;12;9;4;11;28;27;40;48;36
