Unnamed: 0;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.88;1.12;1.31;1.47;1.69;1.82;0.00;-7.10;-0.91
&nbspP/L;17.41;13.86;10.30;16.08;28.76;33.70;0.00;-2.90;-30.72
&nbspVPA;2.44;3.48;4.92;5.34;5.60;7.61;5.36;0.33;2.06
&nbspP/VP;6.28;4.45;2.74;4.44;8.66;8.04;8.18;62.40;13.55
&nbspP/EBIT;7.46;6.29;4.72;7.25;14.05;16.45;23.59;-2.54;-6.76
&nbspP/EBITDA;6.85;5.81;4.36;6.36;12.25;13.60;15.25;-2.99;-9.54
&nbspP/Ativos;0.96;0.89;0.64;0.96;1.44;1.45;0.95;0.70;1.00
&nbspEbitda;290;351;416;500;561;659;428;-1191;-506
&nbspMarg. Ebitda;45%;49%;47%;47%;47%;39%;25%;-191%;-129%
&nbspPSR;3.10;2.85;2.06;2.99;5.80;5.30;3.82;5.70;12.27
&nbspROE;36%;32%;27%;28%;30%;24%;0%;-2.153%;-44%
&nbspROA;6%;6%;6%;6%;5%;4%;0%;-24%;-3%
&nbspROIC;16%;17%;17%;16%;13%;10%;5%;-38%;-19%
&nbspEV/EBIT;20.75;17.01;14.89;13.21;12.56;12.16;25.37;-4.36;-8.68
&nbspEV/EBITDA;19.04;15.70;13.75;11.60;10.94;10.06;16.41;-5.14;-12.26
&nbspDiv. Yield;0,00%;1,42%;5,48%;3,84%;0,95%;0,82%;1,03%;0,00%;0,00%
&nbspDiv. Payout;0%;20%;56%;62%;33%;27%;0%;-5%;0%
&nbspBeta;-0.24;0.46;0.43;0.67;0.78;1.21;0.96;1.65;1.24
&nbspValorização;-1%;0%;-7%;98%;113%;24%;-28%;-54%;38%
&nbspNegócios/dia;952;634;1238;2360;3807;5681;8126;18138;15167
&nbspVolume diário;12;4;6;15;31;61;95;123;140
